==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:AIFB
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:dense
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-AIFB-dense-14-16
time:210215-20-41-49
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-AIFB-dense-14-16-210215-20-41-49
logdir:/content/drive/My Drive/denseR/logs/denseR-AIFB-dense-14-16-210215-20-41-49
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 140 	 Number of testing nodes: 36	 Total Number of labelled nodes: 176
Number of classes in this graph: 4 	 Number of nodes: 8285 	 Number of relation types: 90
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  1.943697 	 Train Accuracy:  0.4821 	Valid Loss:  1.3975 	 Valid Accuracy:  0.2500
Run: [1]	 Epoch: [2]	 Train Loss:  1.110998 	 Train Accuracy:  0.6518 	Valid Loss:  1.3439 	 Valid Accuracy:  0.5357
Run: [1]	 Epoch: [3]	 Train Loss:  1.066463 	 Train Accuracy:  0.9286 	Valid Loss:  0.6792 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [4]	 Train Loss:  0.601793 	 Train Accuracy:  0.9554 	Valid Loss:  0.6858 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [5]	 Train Loss:  0.480893 	 Train Accuracy:  0.9643 	Valid Loss:  0.6629 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [6]	 Train Loss:  0.379126 	 Train Accuracy:  0.9643 	Valid Loss:  0.6210 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [7]	 Train Loss:  0.361264 	 Train Accuracy:  0.9732 	Valid Loss:  0.5685 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [8]	 Train Loss:  0.287573 	 Train Accuracy:  0.9821 	Valid Loss:  0.5363 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [9]	 Train Loss:  0.277599 	 Train Accuracy:  0.9911 	Valid Loss:  0.5290 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [10]	 Train Loss:  0.237350 	 Train Accuracy:  1.0000 	Valid Loss:  0.5403 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [11]	 Train Loss:  0.202724 	 Train Accuracy:  1.0000 	Valid Loss:  0.5640 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [12]	 Train Loss:  0.173014 	 Train Accuracy:  1.0000 	Valid Loss:  0.5904 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [13]	 Train Loss:  0.184304 	 Train Accuracy:  1.0000 	Valid Loss:  0.6094 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [14]	 Train Loss:  0.136777 	 Train Accuracy:  1.0000 	Valid Loss:  0.6045 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [15]	 Train Loss:  0.126310 	 Train Accuracy:  1.0000 	Valid Loss:  0.5939 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [16]	 Train Loss:  0.130877 	 Train Accuracy:  1.0000 	Valid Loss:  0.5702 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [17]	 Train Loss:  0.121247 	 Train Accuracy:  1.0000 	Valid Loss:  0.5378 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [18]	 Train Loss:  0.102416 	 Train Accuracy:  1.0000 	Valid Loss:  0.5092 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [19]	 Train Loss:  0.122953 	 Train Accuracy:  1.0000 	Valid Loss:  0.4850 	 Valid Accuracy:  0.8214
