==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:AIFB
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
no_fusion:True
kernel_size:64
block_type:dense
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-AIFB-dense-14-16-No fuse
time:210302-18-29-41
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-AIFB-dense-14-16-No fuse-210302-18-29-41
logdir:/content/drive/My Drive/denseR/logs/denseR-AIFB-dense-14-16-No fuse-210302-18-29-41
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 140 	 Number of testing nodes: 36	 Total Number of labelled nodes: 176
Number of classes in this graph: 4 	 Number of nodes: 8285 	 Number of relation types: 90
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  6.458444 	 Train Accuracy:  0.4911 	Valid Loss:  3.6707 	 Valid Accuracy:  0.3214
Run: [1]	 Epoch: [2]	 Train Loss:  3.493794 	 Train Accuracy:  0.9375 	Valid Loss:  3.2316 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [3]	 Train Loss:  2.332926 	 Train Accuracy:  0.9821 	Valid Loss:  3.0727 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [4]	 Train Loss:  2.068104 	 Train Accuracy:  0.9821 	Valid Loss:  2.9463 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [5]	 Train Loss:  1.962577 	 Train Accuracy:  0.9821 	Valid Loss:  2.8339 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [6]	 Train Loss:  1.886315 	 Train Accuracy:  0.9821 	Valid Loss:  2.7212 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [7]	 Train Loss:  1.815900 	 Train Accuracy:  1.0000 	Valid Loss:  2.5926 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [8]	 Train Loss:  1.748283 	 Train Accuracy:  1.0000 	Valid Loss:  2.4738 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [9]	 Train Loss:  1.684237 	 Train Accuracy:  1.0000 	Valid Loss:  2.3643 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [10]	 Train Loss:  1.624571 	 Train Accuracy:  1.0000 	Valid Loss:  2.2572 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [11]	 Train Loss:  1.568495 	 Train Accuracy:  1.0000 	Valid Loss:  2.1507 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [12]	 Train Loss:  1.514424 	 Train Accuracy:  1.0000 	Valid Loss:  2.0487 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [13]	 Train Loss:  1.461665 	 Train Accuracy:  1.0000 	Valid Loss:  1.9559 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [14]	 Train Loss:  1.410957 	 Train Accuracy:  1.0000 	Valid Loss:  1.8725 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [15]	 Train Loss:  1.362750 	 Train Accuracy:  1.0000 	Valid Loss:  1.7945 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [16]	 Train Loss:  1.315298 	 Train Accuracy:  1.0000 	Valid Loss:  1.7207 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [17]	 Train Loss:  1.269437 	 Train Accuracy:  1.0000 	Valid Loss:  1.6505 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [18]	 Train Loss:  1.225211 	 Train Accuracy:  1.0000 	Valid Loss:  1.5837 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [19]	 Train Loss:  1.182177 	 Train Accuracy:  1.0000 	Valid Loss:  1.5203 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [20]	 Train Loss:  1.140158 	 Train Accuracy:  1.0000 	Valid Loss:  1.4608 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [21]	 Train Loss:  1.099631 	 Train Accuracy:  1.0000 	Valid Loss:  1.4045 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [22]	 Train Loss:  1.060130 	 Train Accuracy:  1.0000 	Valid Loss:  1.3510 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [23]	 Train Loss:  1.021425 	 Train Accuracy:  1.0000 	Valid Loss:  1.3009 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [24]	 Train Loss:  0.984167 	 Train Accuracy:  1.0000 	Valid Loss:  1.2534 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [25]	 Train Loss:  0.947965 	 Train Accuracy:  1.0000 	Valid Loss:  1.2085 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [26]	 Train Loss:  0.912828 	 Train Accuracy:  1.0000 	Valid Loss:  1.1663 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [27]	 Train Loss:  0.879086 	 Train Accuracy:  1.0000 	Valid Loss:  1.1261 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [28]	 Train Loss:  0.846283 	 Train Accuracy:  1.0000 	Valid Loss:  1.0885 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [29]	 Train Loss:  0.814727 	 Train Accuracy:  1.0000 	Valid Loss:  1.0525 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [30]	 Train Loss:  0.783727 	 Train Accuracy:  1.0000 	Valid Loss:  1.0194 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [31]	 Train Loss:  0.754561 	 Train Accuracy:  1.0000 	Valid Loss:  0.9877 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [32]	 Train Loss:  0.726244 	 Train Accuracy:  1.0000 	Valid Loss:  0.9571 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [33]	 Train Loss:  0.698387 	 Train Accuracy:  1.0000 	Valid Loss:  0.9294 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [34]	 Train Loss:  0.672480 	 Train Accuracy:  1.0000 	Valid Loss:  0.9029 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [35]	 Train Loss:  0.647042 	 Train Accuracy:  1.0000 	Valid Loss:  0.8770 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [36]	 Train Loss:  0.621991 	 Train Accuracy:  1.0000 	Valid Loss:  0.8533 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [37]	 Train Loss:  0.598335 	 Train Accuracy:  1.0000 	Valid Loss:  0.8310 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [38]	 Train Loss:  0.575643 	 Train Accuracy:  1.0000 	Valid Loss:  0.8101 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [39]	 Train Loss:  0.553915 	 Train Accuracy:  1.0000 	Valid Loss:  0.7901 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [40]	 Train Loss:  0.532990 	 Train Accuracy:  1.0000 	Valid Loss:  0.7708 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [41]	 Train Loss:  0.512678 	 Train Accuracy:  1.0000 	Valid Loss:  0.7528 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [42]	 Train Loss:  0.493566 	 Train Accuracy:  1.0000 	Valid Loss:  0.7356 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [43]	 Train Loss:  0.475252 	 Train Accuracy:  1.0000 	Valid Loss:  0.7189 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [44]	 Train Loss:  0.457537 	 Train Accuracy:  1.0000 	Valid Loss:  0.7032 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [45]	 Train Loss:  0.440678 	 Train Accuracy:  1.0000 	Valid Loss:  0.6878 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [46]	 Train Loss:  0.424375 	 Train Accuracy:  1.0000 	Valid Loss:  0.6734 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [47]	 Train Loss:  0.409033 	 Train Accuracy:  1.0000 	Valid Loss:  0.6591 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [48]	 Train Loss:  0.394057 	 Train Accuracy:  1.0000 	Valid Loss:  0.6452 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [49]	 Train Loss:  0.379882 	 Train Accuracy:  1.0000 	Valid Loss:  0.6314 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [50]	 Train Loss:  0.366102 	 Train Accuracy:  1.0000 	Valid Loss:  0.6176 	 Valid Accuracy:  0.9643
Test Accuracy in run 1 is: 0.9166666865348816
Total Train Accuracy after run 1 is: 1.0000
Total Test Accuracy after run 1 is: 0.9167
Best Test Accuracy in 1 runs is: 0.9167
Run: [2]	 Epoch: [1]	 Train Loss:  5.722950 	 Train Accuracy:  0.5893 	Valid Loss:  3.8827 	 Valid Accuracy:  0.3571
Run: [2]	 Epoch: [2]	 Train Loss:  3.113241 	 Train Accuracy:  0.9375 	Valid Loss:  3.5647 	 Valid Accuracy:  0.5000
Run: [2]	 Epoch: [3]	 Train Loss:  2.219950 	 Train Accuracy:  0.9911 	Valid Loss:  3.4172 	 Valid Accuracy:  0.5714
Run: [2]	 Epoch: [4]	 Train Loss:  1.994041 	 Train Accuracy:  1.0000 	Valid Loss:  3.3112 	 Valid Accuracy:  0.6071
Run: [2]	 Epoch: [5]	 Train Loss:  1.889154 	 Train Accuracy:  1.0000 	Valid Loss:  3.1493 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [6]	 Train Loss:  1.805746 	 Train Accuracy:  1.0000 	Valid Loss:  2.9608 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [7]	 Train Loss:  1.733375 	 Train Accuracy:  1.0000 	Valid Loss:  2.8020 	 Valid Accuracy:  0.6786
Run: [2]	 Epoch: [8]	 Train Loss:  1.668900 	 Train Accuracy:  1.0000 	Valid Loss:  2.6596 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [9]	 Train Loss:  1.609114 	 Train Accuracy:  1.0000 	Valid Loss:  2.5287 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [10]	 Train Loss:  1.552530 	 Train Accuracy:  1.0000 	Valid Loss:  2.4082 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [11]	 Train Loss:  1.498490 	 Train Accuracy:  1.0000 	Valid Loss:  2.2980 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [12]	 Train Loss:  1.446777 	 Train Accuracy:  1.0000 	Valid Loss:  2.1987 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [13]	 Train Loss:  1.396508 	 Train Accuracy:  1.0000 	Valid Loss:  2.1101 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [14]	 Train Loss:  1.347405 	 Train Accuracy:  1.0000 	Valid Loss:  2.0305 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [15]	 Train Loss:  1.300008 	 Train Accuracy:  1.0000 	Valid Loss:  1.9570 	 Valid Accuracy:  0.8214
Run: [2]	 Epoch: [16]	 Train Loss:  1.254824 	 Train Accuracy:  1.0000 	Valid Loss:  1.8867 	 Valid Accuracy:  0.8214
Run: [2]	 Epoch: [17]	 Train Loss:  1.210999 	 Train Accuracy:  1.0000 	Valid Loss:  1.8183 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [18]	 Train Loss:  1.167684 	 Train Accuracy:  1.0000 	Valid Loss:  1.7521 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [19]	 Train Loss:  1.125773 	 Train Accuracy:  1.0000 	Valid Loss:  1.6871 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [20]	 Train Loss:  1.084859 	 Train Accuracy:  1.0000 	Valid Loss:  1.6175 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [21]	 Train Loss:  1.044724 	 Train Accuracy:  1.0000 	Valid Loss:  1.5472 	 Valid Accuracy:  0.8929
Run: [2]	 Epoch: [22]	 Train Loss:  1.005581 	 Train Accuracy:  1.0000 	Valid Loss:  1.4805 	 Valid Accuracy:  0.8929
Run: [2]	 Epoch: [23]	 Train Loss:  0.969399 	 Train Accuracy:  1.0000 	Valid Loss:  1.4138 	 Valid Accuracy:  0.8929
Run: [2]	 Epoch: [24]	 Train Loss:  0.933030 	 Train Accuracy:  1.0000 	Valid Loss:  1.3492 	 Valid Accuracy:  0.9286
Run: [2]	 Epoch: [25]	 Train Loss:  0.897798 	 Train Accuracy:  1.0000 	Valid Loss:  1.2876 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [26]	 Train Loss:  0.863930 	 Train Accuracy:  1.0000 	Valid Loss:  1.2361 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [27]	 Train Loss:  0.837682 	 Train Accuracy:  1.0000 	Valid Loss:  1.1777 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [28]	 Train Loss:  0.802324 	 Train Accuracy:  1.0000 	Valid Loss:  1.1260 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [29]	 Train Loss:  0.771605 	 Train Accuracy:  1.0000 	Valid Loss:  1.0775 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [30]	 Train Loss:  0.742043 	 Train Accuracy:  1.0000 	Valid Loss:  1.0333 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [31]	 Train Loss:  0.714635 	 Train Accuracy:  1.0000 	Valid Loss:  0.9913 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [32]	 Train Loss:  0.687373 	 Train Accuracy:  1.0000 	Valid Loss:  0.9519 	 Valid Accuracy:  1.0000
Run: [2]	 Epoch: [33]	 Train Loss:  0.660947 	 Train Accuracy:  1.0000 	Valid Loss:  0.9156 	 Valid Accuracy:  1.0000
Run: [2]	 Epoch: [34]	 Train Loss:  0.636153 	 Train Accuracy:  1.0000 	Valid Loss:  0.8808 	 Valid Accuracy:  1.0000
Run: [2]	 Epoch: [35]	 Train Loss:  0.611515 	 Train Accuracy:  1.0000 	Valid Loss:  0.8489 	 Valid Accuracy:  1.0000
Run: [2]	 Epoch: [36]	 Train Loss:  0.588264 	 Train Accuracy:  1.0000 	Valid Loss:  0.8187 	 Valid Accuracy:  1.0000
Run: [2]	 Epoch: [37]	 Train Loss:  0.565745 	 Train Accuracy:  1.0000 	Valid Loss:  0.7909 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [38]	 Train Loss:  0.544532 	 Train Accuracy:  1.0000 	Valid Loss:  0.7648 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [39]	 Train Loss:  0.524054 	 Train Accuracy:  1.0000 	Valid Loss:  0.7403 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [40]	 Train Loss:  0.504323 	 Train Accuracy:  1.0000 	Valid Loss:  0.7177 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [41]	 Train Loss:  0.485499 	 Train Accuracy:  1.0000 	Valid Loss:  0.6967 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [42]	 Train Loss:  0.467377 	 Train Accuracy:  1.0000 	Valid Loss:  0.6773 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [43]	 Train Loss:  0.450116 	 Train Accuracy:  1.0000 	Valid Loss:  0.6589 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [44]	 Train Loss:  0.433441 	 Train Accuracy:  1.0000 	Valid Loss:  0.6418 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [45]	 Train Loss:  0.417535 	 Train Accuracy:  1.0000 	Valid Loss:  0.6257 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [46]	 Train Loss:  0.402286 	 Train Accuracy:  1.0000 	Valid Loss:  0.6105 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [47]	 Train Loss:  0.387673 	 Train Accuracy:  1.0000 	Valid Loss:  0.5960 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [48]	 Train Loss:  0.373540 	 Train Accuracy:  1.0000 	Valid Loss:  0.5827 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [49]	 Train Loss:  0.360356 	 Train Accuracy:  1.0000 	Valid Loss:  0.5695 	 Valid Accuracy:  0.9643
Run: [2]	 Epoch: [50]	 Train Loss:  0.347400 	 Train Accuracy:  1.0000 	Valid Loss:  0.5568 	 Valid Accuracy:  0.9643
Test Accuracy in run 2 is: 0.944444477558136
Total Train Accuracy after run 2 is: 1.0000
Total Test Accuracy after run 2 is: 0.9306
Best Test Accuracy in 2 runs is: 0.9444
Run: [3]	 Epoch: [1]	 Train Loss:  6.405170 	 Train Accuracy:  0.5625 	Valid Loss:  3.8746 	 Valid Accuracy:  0.3929
Run: [3]	 Epoch: [2]	 Train Loss:  3.261066 	 Train Accuracy:  0.9018 	Valid Loss:  3.5103 	 Valid Accuracy:  0.5357
Run: [3]	 Epoch: [3]	 Train Loss:  2.360885 	 Train Accuracy:  0.9732 	Valid Loss:  3.3256 	 Valid Accuracy:  0.6429
Run: [3]	 Epoch: [4]	 Train Loss:  2.107270 	 Train Accuracy:  1.0000 	Valid Loss:  3.1959 	 Valid Accuracy:  0.6786
Run: [3]	 Epoch: [5]	 Train Loss:  1.960811 	 Train Accuracy:  1.0000 	Valid Loss:  3.0800 	 Valid Accuracy:  0.6786
Run: [3]	 Epoch: [6]	 Train Loss:  1.874318 	 Train Accuracy:  1.0000 	Valid Loss:  2.9691 	 Valid Accuracy:  0.6786
Run: [3]	 Epoch: [7]	 Train Loss:  1.802858 	 Train Accuracy:  1.0000 	Valid Loss:  2.8553 	 Valid Accuracy:  0.6786
Run: [3]	 Epoch: [8]	 Train Loss:  1.738074 	 Train Accuracy:  1.0000 	Valid Loss:  2.7404 	 Valid Accuracy:  0.7143
Run: [3]	 Epoch: [9]	 Train Loss:  1.677429 	 Train Accuracy:  1.0000 	Valid Loss:  2.6257 	 Valid Accuracy:  0.7143
Run: [3]	 Epoch: [10]	 Train Loss:  1.620315 	 Train Accuracy:  1.0000 	Valid Loss:  2.5105 	 Valid Accuracy:  0.7143
Run: [3]	 Epoch: [11]	 Train Loss:  1.564929 	 Train Accuracy:  1.0000 	Valid Loss:  2.3940 	 Valid Accuracy:  0.7143
Run: [3]	 Epoch: [12]	 Train Loss:  1.510302 	 Train Accuracy:  1.0000 	Valid Loss:  2.2789 	 Valid Accuracy:  0.7500
Run: [3]	 Epoch: [13]	 Train Loss:  1.458336 	 Train Accuracy:  1.0000 	Valid Loss:  2.1674 	 Valid Accuracy:  0.7857
Run: [3]	 Epoch: [14]	 Train Loss:  1.409907 	 Train Accuracy:  1.0000 	Valid Loss:  2.0577 	 Valid Accuracy:  0.7857
Run: [3]	 Epoch: [15]	 Train Loss:  1.362125 	 Train Accuracy:  1.0000 	Valid Loss:  1.9507 	 Valid Accuracy:  0.8571
Run: [3]	 Epoch: [16]	 Train Loss:  1.314786 	 Train Accuracy:  1.0000 	Valid Loss:  1.8486 	 Valid Accuracy:  0.8571
Run: [3]	 Epoch: [17]	 Train Loss:  1.268631 	 Train Accuracy:  1.0000 	Valid Loss:  1.7539 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [18]	 Train Loss:  1.224295 	 Train Accuracy:  1.0000 	Valid Loss:  1.6682 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [19]	 Train Loss:  1.181627 	 Train Accuracy:  1.0000 	Valid Loss:  1.5929 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [20]	 Train Loss:  1.140741 	 Train Accuracy:  1.0000 	Valid Loss:  1.5259 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [21]	 Train Loss:  1.100194 	 Train Accuracy:  1.0000 	Valid Loss:  1.4659 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [22]	 Train Loss:  1.060290 	 Train Accuracy:  1.0000 	Valid Loss:  1.4127 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [23]	 Train Loss:  1.022120 	 Train Accuracy:  1.0000 	Valid Loss:  1.3641 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [24]	 Train Loss:  0.984943 	 Train Accuracy:  1.0000 	Valid Loss:  1.3189 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [25]	 Train Loss:  0.948618 	 Train Accuracy:  1.0000 	Valid Loss:  1.2770 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [26]	 Train Loss:  0.913862 	 Train Accuracy:  1.0000 	Valid Loss:  1.2370 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [27]	 Train Loss:  0.880056 	 Train Accuracy:  1.0000 	Valid Loss:  1.1987 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [28]	 Train Loss:  0.846974 	 Train Accuracy:  1.0000 	Valid Loss:  1.1630 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [29]	 Train Loss:  0.815571 	 Train Accuracy:  1.0000 	Valid Loss:  1.1283 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [30]	 Train Loss:  0.784715 	 Train Accuracy:  1.0000 	Valid Loss:  1.0956 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [31]	 Train Loss:  0.755337 	 Train Accuracy:  1.0000 	Valid Loss:  1.0643 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [32]	 Train Loss:  0.726839 	 Train Accuracy:  1.0000 	Valid Loss:  1.0340 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [33]	 Train Loss:  0.699189 	 Train Accuracy:  1.0000 	Valid Loss:  1.0050 	 Valid Accuracy:  0.9286
Run: [3]	 Epoch: [34]	 Train Loss:  0.672973 	 Train Accuracy:  1.0000 	Valid Loss:  0.9775 	 Valid Accuracy:  0.9643
Run: [3]	 Epoch: [35]	 Train Loss:  0.648097 	 Train Accuracy:  1.0000 	Valid Loss:  0.9510 	 Valid Accuracy:  0.9643
Run: [3]	 Epoch: [36]	 Train Loss:  0.623821 	 Train Accuracy:  1.0000 	Valid Loss:  0.9252 	 Valid Accuracy:  0.9643
Run: [3]	 Epoch: [37]	 Train Loss:  0.600419 	 Train Accuracy:  1.0000 	Valid Loss:  0.9003 	 Valid Accuracy:  0.9643
Run: [3]	 Epoch: [38]	 Train Loss:  0.577861 	 Train Accuracy:  1.0000 	Valid Loss:  0.8767 	 Valid Accuracy:  0.9643
Run: [3]	 Epoch: [39]	 Train Loss:  0.556011 	 Train Accuracy:  1.0000 	Valid Loss:  0.8544 	 Valid Accuracy:  0.9643
Run: [3]	 Epoch: [40]	 Train Loss:  0.535273 	 Train Accuracy:  1.0000 	Valid Loss:  0.8329 	 Valid Accuracy:  0.9643
