==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:AIFB
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:dense
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:64
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-AIFB-dense-14-64
time:210216-11-25-44
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-AIFB-dense-14-64-210216-11-25-44
logdir:/content/drive/My Drive/denseR/logs/denseR-AIFB-dense-14-64-210216-11-25-44
device:cpu
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 140 	 Number of testing nodes: 36	 Total Number of labelled nodes: 176
Number of classes in this graph: 4 	 Number of nodes: 8285 	 Number of relation types: 90
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  1.912200 	 Train Accuracy:  0.6071 	Valid Loss:  1.4872 	 Valid Accuracy:  0.4643
Run: [1]	 Epoch: [2]	 Train Loss:  1.127578 	 Train Accuracy:  0.5446 	Valid Loss:  1.2183 	 Valid Accuracy:  0.4286
Run: [1]	 Epoch: [3]	 Train Loss:  1.050757 	 Train Accuracy:  0.8661 	Valid Loss:  0.8820 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [4]	 Train Loss:  0.695145 	 Train Accuracy:  0.8750 	Valid Loss:  0.8321 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [5]	 Train Loss:  0.588644 	 Train Accuracy:  0.9375 	Valid Loss:  0.6297 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [6]	 Train Loss:  0.452733 	 Train Accuracy:  0.9732 	Valid Loss:  0.4962 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [7]	 Train Loss:  0.367210 	 Train Accuracy:  0.9911 	Valid Loss:  0.4191 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [8]	 Train Loss:  0.319792 	 Train Accuracy:  0.9911 	Valid Loss:  0.3287 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [9]	 Train Loss:  0.241765 	 Train Accuracy:  1.0000 	Valid Loss:  0.3260 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [10]	 Train Loss:  0.241932 	 Train Accuracy:  1.0000 	Valid Loss:  0.3630 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [11]	 Train Loss:  0.217571 	 Train Accuracy:  1.0000 	Valid Loss:  0.3673 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [12]	 Train Loss:  0.185118 	 Train Accuracy:  1.0000 	Valid Loss:  0.3537 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [13]	 Train Loss:  0.165325 	 Train Accuracy:  1.0000 	Valid Loss:  0.3217 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [14]	 Train Loss:  0.154622 	 Train Accuracy:  1.0000 	Valid Loss:  0.2890 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [15]	 Train Loss:  0.162661 	 Train Accuracy:  1.0000 	Valid Loss:  0.2636 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [16]	 Train Loss:  0.144141 	 Train Accuracy:  1.0000 	Valid Loss:  0.2471 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [17]	 Train Loss:  0.116910 	 Train Accuracy:  1.0000 	Valid Loss:  0.2401 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [18]	 Train Loss:  0.094742 	 Train Accuracy:  1.0000 	Valid Loss:  0.2382 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [19]	 Train Loss:  0.109438 	 Train Accuracy:  1.0000 	Valid Loss:  0.2474 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [20]	 Train Loss:  0.096844 	 Train Accuracy:  1.0000 	Valid Loss:  0.2573 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [21]	 Train Loss:  0.108948 	 Train Accuracy:  1.0000 	Valid Loss:  0.2786 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [22]	 Train Loss:  0.095814 	 Train Accuracy:  1.0000 	Valid Loss:  0.2925 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [23]	 Train Loss:  0.076277 	 Train Accuracy:  1.0000 	Valid Loss:  0.3029 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [24]	 Train Loss:  0.085872 	 Train Accuracy:  1.0000 	Valid Loss:  0.3097 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [25]	 Train Loss:  0.072220 	 Train Accuracy:  1.0000 	Valid Loss:  0.3062 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [26]	 Train Loss:  0.051754 	 Train Accuracy:  1.0000 	Valid Loss:  0.3016 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [27]	 Train Loss:  0.059396 	 Train Accuracy:  1.0000 	Valid Loss:  0.3008 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [28]	 Train Loss:  0.065604 	 Train Accuracy:  1.0000 	Valid Loss:  0.2971 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [29]	 Train Loss:  0.059674 	 Train Accuracy:  1.0000 	Valid Loss:  0.2890 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [30]	 Train Loss:  0.050031 	 Train Accuracy:  1.0000 	Valid Loss:  0.2811 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [31]	 Train Loss:  0.050872 	 Train Accuracy:  1.0000 	Valid Loss:  0.2785 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [32]	 Train Loss:  0.049359 	 Train Accuracy:  1.0000 	Valid Loss:  0.2800 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [33]	 Train Loss:  0.034505 	 Train Accuracy:  1.0000 	Valid Loss:  0.2862 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [34]	 Train Loss:  0.049771 	 Train Accuracy:  1.0000 	Valid Loss:  0.2874 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [35]	 Train Loss:  0.035617 	 Train Accuracy:  1.0000 	Valid Loss:  0.2808 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [36]	 Train Loss:  0.048116 	 Train Accuracy:  1.0000 	Valid Loss:  0.2692 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [37]	 Train Loss:  0.043630 	 Train Accuracy:  1.0000 	Valid Loss:  0.2583 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [38]	 Train Loss:  0.055387 	 Train Accuracy:  1.0000 	Valid Loss:  0.2522 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [39]	 Train Loss:  0.039089 	 Train Accuracy:  1.0000 	Valid Loss:  0.2538 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [40]	 Train Loss:  0.031560 	 Train Accuracy:  1.0000 	Valid Loss:  0.2539 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [41]	 Train Loss:  0.041854 	 Train Accuracy:  1.0000 	Valid Loss:  0.2605 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [42]	 Train Loss:  0.032362 	 Train Accuracy:  1.0000 	Valid Loss:  0.2734 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [43]	 Train Loss:  0.040812 	 Train Accuracy:  1.0000 	Valid Loss:  0.2789 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [44]	 Train Loss:  0.020456 	 Train Accuracy:  1.0000 	Valid Loss:  0.2701 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [45]	 Train Loss:  0.026643 	 Train Accuracy:  1.0000 	Valid Loss:  0.2600 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [46]	 Train Loss:  0.026441 	 Train Accuracy:  1.0000 	Valid Loss:  0.2534 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [47]	 Train Loss:  0.035385 	 Train Accuracy:  1.0000 	Valid Loss:  0.2599 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [48]	 Train Loss:  0.035120 	 Train Accuracy:  1.0000 	Valid Loss:  0.2405 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [49]	 Train Loss:  0.033464 	 Train Accuracy:  1.0000 	Valid Loss:  0.2200 	 Valid Accuracy:  0.9643
Run: [1]	 Epoch: [50]	 Train Loss:  0.025063 	 Train Accuracy:  1.0000 	Valid Loss:  0.2126 	 Valid Accuracy:  0.9643
Test Accuracy in run 1 is: 0.9166666865348816
Total Train Accuracy after run 1 is: 1.0000
Total Test Accuracy after run 1 is: 0.9167
Best Test Accuracy in 1 runs is: 0.9167
Run: [2]	 Epoch: [1]	 Train Loss:  1.839425 	 Train Accuracy:  0.6250 	Valid Loss:  1.1266 	 Valid Accuracy:  0.5357
Run: [2]	 Epoch: [2]	 Train Loss:  0.978386 	 Train Accuracy:  0.4911 	Valid Loss:  1.7315 	 Valid Accuracy:  0.5000
Run: [2]	 Epoch: [3]	 Train Loss:  1.516867 	 Train Accuracy:  0.8839 	Valid Loss:  0.9473 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [4]	 Train Loss:  0.681795 	 Train Accuracy:  0.8482 	Valid Loss:  0.8638 	 Valid Accuracy:  0.6786
Run: [2]	 Epoch: [5]	 Train Loss:  0.564686 	 Train Accuracy:  0.8839 	Valid Loss:  0.7342 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [6]	 Train Loss:  0.448500 	 Train Accuracy:  0.9018 	Valid Loss:  0.6909 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [7]	 Train Loss:  0.376156 	 Train Accuracy:  0.8929 	Valid Loss:  0.6595 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [8]	 Train Loss:  0.348955 	 Train Accuracy:  0.9375 	Valid Loss:  0.6244 	 Valid Accuracy:  0.8214
Run: [2]	 Epoch: [9]	 Train Loss:  0.312349 	 Train Accuracy:  0.9464 	Valid Loss:  0.5980 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [10]	 Train Loss:  0.305607 	 Train Accuracy:  0.9643 	Valid Loss:  0.5763 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [11]	 Train Loss:  0.235791 	 Train Accuracy:  0.9732 	Valid Loss:  0.5562 	 Valid Accuracy:  0.8571
