==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:AIFB
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
no_fusion:True
kernel_size:64
block_type:plain
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-AIFB-plain-14-16-No fuse
time:210302-18-03-35
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-AIFB-plain-14-16-No fuse-210302-18-03-35
logdir:/content/drive/My Drive/denseR/logs/denseR-AIFB-plain-14-16-No fuse-210302-18-03-35
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 140 	 Number of testing nodes: 36	 Total Number of labelled nodes: 176
Number of classes in this graph: 4 	 Number of nodes: 8285 	 Number of relation types: 90
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  3.747650 	 Train Accuracy:  0.0804 	Valid Loss:  3.5447 	 Valid Accuracy:  0.0714
Run: [1]	 Epoch: [2]	 Train Loss:  3.249482 	 Train Accuracy:  0.1607 	Valid Loss:  2.6809 	 Valid Accuracy:  0.1786
Run: [1]	 Epoch: [3]	 Train Loss:  2.778568 	 Train Accuracy:  0.5089 	Valid Loss:  1.6450 	 Valid Accuracy:  0.4286
Run: [1]	 Epoch: [4]	 Train Loss:  1.622232 	 Train Accuracy:  0.6339 	Valid Loss:  1.3928 	 Valid Accuracy:  0.5000
Run: [1]	 Epoch: [5]	 Train Loss:  1.179337 	 Train Accuracy:  0.7054 	Valid Loss:  1.3480 	 Valid Accuracy:  0.5714
Run: [1]	 Epoch: [6]	 Train Loss:  1.035415 	 Train Accuracy:  0.7411 	Valid Loss:  1.1712 	 Valid Accuracy:  0.5714
Run: [1]	 Epoch: [7]	 Train Loss:  0.857531 	 Train Accuracy:  0.6071 	Valid Loss:  1.0241 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [8]	 Train Loss:  1.061130 	 Train Accuracy:  0.7857 	Valid Loss:  1.0878 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [9]	 Train Loss:  0.723411 	 Train Accuracy:  0.8304 	Valid Loss:  1.0698 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [10]	 Train Loss:  0.635355 	 Train Accuracy:  0.9018 	Valid Loss:  0.7713 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [11]	 Train Loss:  0.493584 	 Train Accuracy:  0.9375 	Valid Loss:  0.7051 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [12]	 Train Loss:  0.441619 	 Train Accuracy:  0.9643 	Valid Loss:  0.6155 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [13]	 Train Loss:  0.375603 	 Train Accuracy:  0.9732 	Valid Loss:  0.5647 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [14]	 Train Loss:  0.323438 	 Train Accuracy:  0.9732 	Valid Loss:  0.5405 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [15]	 Train Loss:  0.289701 	 Train Accuracy:  0.9732 	Valid Loss:  0.5932 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [16]	 Train Loss:  0.260825 	 Train Accuracy:  0.9732 	Valid Loss:  0.6036 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [17]	 Train Loss:  0.234781 	 Train Accuracy:  0.9732 	Valid Loss:  0.6053 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [18]	 Train Loss:  0.217727 	 Train Accuracy:  0.9821 	Valid Loss:  0.5082 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [19]	 Train Loss:  0.204932 	 Train Accuracy:  0.9821 	Valid Loss:  0.4742 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [20]	 Train Loss:  0.190473 	 Train Accuracy:  0.9821 	Valid Loss:  0.4604 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [21]	 Train Loss:  0.180210 	 Train Accuracy:  0.9821 	Valid Loss:  0.4443 	 Valid Accuracy:  0.8929
