==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:AIFB
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:plain
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:32
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-AIFB-plain-7-32
time:210217-03-42-55
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-AIFB-plain-7-32-210217-03-42-55
logdir:/content/drive/My Drive/denseR/logs/denseR-AIFB-plain-7-32-210217-03-42-55
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 140 	 Number of testing nodes: 36	 Total Number of labelled nodes: 176
Number of classes in this graph: 4 	 Number of nodes: 8285 	 Number of relation types: 90
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  1.657895 	 Train Accuracy:  0.5446 	Valid Loss:  1.3708 	 Valid Accuracy:  0.2500
Run: [1]	 Epoch: [2]	 Train Loss:  1.051072 	 Train Accuracy:  0.8036 	Valid Loss:  0.9587 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [3]	 Train Loss:  0.732414 	 Train Accuracy:  0.9554 	Valid Loss:  0.6217 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [4]	 Train Loss:  0.423009 	 Train Accuracy:  0.9732 	Valid Loss:  0.6175 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [5]	 Train Loss:  0.310807 	 Train Accuracy:  0.9732 	Valid Loss:  0.5693 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [6]	 Train Loss:  0.286108 	 Train Accuracy:  0.9732 	Valid Loss:  0.5923 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [7]	 Train Loss:  0.289050 	 Train Accuracy:  0.9732 	Valid Loss:  0.5575 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [8]	 Train Loss:  0.238417 	 Train Accuracy:  0.9732 	Valid Loss:  0.5735 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [9]	 Train Loss:  0.255541 	 Train Accuracy:  0.9732 	Valid Loss:  0.5590 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [10]	 Train Loss:  0.200567 	 Train Accuracy:  0.9821 	Valid Loss:  0.5270 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [11]	 Train Loss:  0.173984 	 Train Accuracy:  0.9911 	Valid Loss:  0.5056 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [12]	 Train Loss:  0.124143 	 Train Accuracy:  1.0000 	Valid Loss:  0.5053 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [13]	 Train Loss:  0.119241 	 Train Accuracy:  1.0000 	Valid Loss:  0.5266 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [14]	 Train Loss:  0.138837 	 Train Accuracy:  1.0000 	Valid Loss:  0.5601 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [15]	 Train Loss:  0.094525 	 Train Accuracy:  1.0000 	Valid Loss:  0.5886 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [16]	 Train Loss:  0.110210 	 Train Accuracy:  1.0000 	Valid Loss:  0.6045 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [17]	 Train Loss:  0.076090 	 Train Accuracy:  1.0000 	Valid Loss:  0.6146 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [18]	 Train Loss:  0.087734 	 Train Accuracy:  1.0000 	Valid Loss:  0.6167 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [19]	 Train Loss:  0.088288 	 Train Accuracy:  1.0000 	Valid Loss:  0.6037 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [20]	 Train Loss:  0.079955 	 Train Accuracy:  1.0000 	Valid Loss:  0.5910 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [21]	 Train Loss:  0.041300 	 Train Accuracy:  1.0000 	Valid Loss:  0.5761 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [22]	 Train Loss:  0.053936 	 Train Accuracy:  1.0000 	Valid Loss:  0.5628 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [23]	 Train Loss:  0.059449 	 Train Accuracy:  1.0000 	Valid Loss:  0.5501 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [24]	 Train Loss:  0.052381 	 Train Accuracy:  1.0000 	Valid Loss:  0.5412 	 Valid Accuracy:  0.8571
