==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.1
data_dir:/data/entity
batch_size:1
dataset:AIFB
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:res
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:32
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-AIFB-res-14-32
time:210215-22-54-52
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-AIFB-res-14-32-210215-22-54-52
logdir:/content/drive/My Drive/denseR/logs/denseR-AIFB-res-14-32-210215-22-54-52
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 140 	 Number of testing nodes: 36	 Total Number of labelled nodes: 176
Number of classes in this graph: 4 	 Number of nodes: 8285 	 Number of relation types: 90
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  2.232308 	 Train Accuracy:  0.5952 	Valid Loss:  1.2195 	 Valid Accuracy:  0.5714
Run: [1]	 Epoch: [2]	 Train Loss:  1.038581 	 Train Accuracy:  0.8889 	Valid Loss:  0.6595 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [3]	 Train Loss:  0.709818 	 Train Accuracy:  0.9683 	Valid Loss:  0.7291 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [4]	 Train Loss:  0.476768 	 Train Accuracy:  0.9683 	Valid Loss:  0.8166 	 Valid Accuracy:  0.5714
Run: [1]	 Epoch: [5]	 Train Loss:  0.431804 	 Train Accuracy:  0.9921 	Valid Loss:  0.6849 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [6]	 Train Loss:  0.322260 	 Train Accuracy:  1.0000 	Valid Loss:  0.6346 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [7]	 Train Loss:  0.325048 	 Train Accuracy:  1.0000 	Valid Loss:  0.5911 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [8]	 Train Loss:  0.276161 	 Train Accuracy:  1.0000 	Valid Loss:  0.5471 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [9]	 Train Loss:  0.249764 	 Train Accuracy:  1.0000 	Valid Loss:  0.4799 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [10]	 Train Loss:  0.224062 	 Train Accuracy:  1.0000 	Valid Loss:  0.4342 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [11]	 Train Loss:  0.199700 	 Train Accuracy:  1.0000 	Valid Loss:  0.4066 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [12]	 Train Loss:  0.178901 	 Train Accuracy:  1.0000 	Valid Loss:  0.3865 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [13]	 Train Loss:  0.138683 	 Train Accuracy:  1.0000 	Valid Loss:  0.3630 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [14]	 Train Loss:  0.127678 	 Train Accuracy:  1.0000 	Valid Loss:  0.3400 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [15]	 Train Loss:  0.139246 	 Train Accuracy:  1.0000 	Valid Loss:  0.3223 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [16]	 Train Loss:  0.113763 	 Train Accuracy:  1.0000 	Valid Loss:  0.3067 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [17]	 Train Loss:  0.087149 	 Train Accuracy:  1.0000 	Valid Loss:  0.3001 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [18]	 Train Loss:  0.103020 	 Train Accuracy:  1.0000 	Valid Loss:  0.2894 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [19]	 Train Loss:  0.094916 	 Train Accuracy:  1.0000 	Valid Loss:  0.2790 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [20]	 Train Loss:  0.084375 	 Train Accuracy:  1.0000 	Valid Loss:  0.2669 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [21]	 Train Loss:  0.065897 	 Train Accuracy:  1.0000 	Valid Loss:  0.2536 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [22]	 Train Loss:  0.084933 	 Train Accuracy:  1.0000 	Valid Loss:  0.2438 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [23]	 Train Loss:  0.077058 	 Train Accuracy:  1.0000 	Valid Loss:  0.2375 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [24]	 Train Loss:  0.080631 	 Train Accuracy:  1.0000 	Valid Loss:  0.2310 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [25]	 Train Loss:  0.064195 	 Train Accuracy:  1.0000 	Valid Loss:  0.2244 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [26]	 Train Loss:  0.074011 	 Train Accuracy:  1.0000 	Valid Loss:  0.2179 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [27]	 Train Loss:  0.061481 	 Train Accuracy:  1.0000 	Valid Loss:  0.2149 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [28]	 Train Loss:  0.048294 	 Train Accuracy:  1.0000 	Valid Loss:  0.2163 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [29]	 Train Loss:  0.049211 	 Train Accuracy:  1.0000 	Valid Loss:  0.2228 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [30]	 Train Loss:  0.037768 	 Train Accuracy:  1.0000 	Valid Loss:  0.2322 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [31]	 Train Loss:  0.034143 	 Train Accuracy:  1.0000 	Valid Loss:  0.2450 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [32]	 Train Loss:  0.039430 	 Train Accuracy:  1.0000 	Valid Loss:  0.2602 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [33]	 Train Loss:  0.039546 	 Train Accuracy:  1.0000 	Valid Loss:  0.2766 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [34]	 Train Loss:  0.032180 	 Train Accuracy:  1.0000 	Valid Loss:  0.2926 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [35]	 Train Loss:  0.024332 	 Train Accuracy:  1.0000 	Valid Loss:  0.3091 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [36]	 Train Loss:  0.053369 	 Train Accuracy:  1.0000 	Valid Loss:  0.3275 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [37]	 Train Loss:  0.023902 	 Train Accuracy:  1.0000 	Valid Loss:  0.3451 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [38]	 Train Loss:  0.022180 	 Train Accuracy:  1.0000 	Valid Loss:  0.3599 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [39]	 Train Loss:  0.023150 	 Train Accuracy:  1.0000 	Valid Loss:  0.3757 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [40]	 Train Loss:  0.023943 	 Train Accuracy:  1.0000 	Valid Loss:  0.3862 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [41]	 Train Loss:  0.029744 	 Train Accuracy:  1.0000 	Valid Loss:  0.4008 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [42]	 Train Loss:  0.036348 	 Train Accuracy:  1.0000 	Valid Loss:  0.4232 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [43]	 Train Loss:  0.033314 	 Train Accuracy:  1.0000 	Valid Loss:  0.4559 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [44]	 Train Loss:  0.032376 	 Train Accuracy:  1.0000 	Valid Loss:  0.4882 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [45]	 Train Loss:  0.036169 	 Train Accuracy:  1.0000 	Valid Loss:  0.5091 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [46]	 Train Loss:  0.036697 	 Train Accuracy:  1.0000 	Valid Loss:  0.5189 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [47]	 Train Loss:  0.052481 	 Train Accuracy:  1.0000 	Valid Loss:  0.5438 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [48]	 Train Loss:  0.013455 	 Train Accuracy:  1.0000 	Valid Loss:  0.5689 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [49]	 Train Loss:  0.020549 	 Train Accuracy:  1.0000 	Valid Loss:  0.5966 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [50]	 Train Loss:  0.013060 	 Train Accuracy:  1.0000 	Valid Loss:  0.6360 	 Valid Accuracy:  0.7857
Test Accuracy in run 1 is: 0.9722222089767456
Total Train Accuracy after run 1 is: 1.0000
Total Test Accuracy after run 1 is: 0.9722
Best Test Accuracy in 1 runs is: 0.9722
Run: [2]	 Epoch: [1]	 Train Loss:  1.669959 	 Train Accuracy:  0.6111 	Valid Loss:  1.0667 	 Valid Accuracy:  0.5000
Run: [2]	 Epoch: [2]	 Train Loss:  1.055419 	 Train Accuracy:  0.8889 	Valid Loss:  0.9057 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [3]	 Train Loss:  0.669140 	 Train Accuracy:  0.8968 	Valid Loss:  0.6772 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [4]	 Train Loss:  0.452273 	 Train Accuracy:  0.9444 	Valid Loss:  0.6169 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [5]	 Train Loss:  0.354284 	 Train Accuracy:  0.9841 	Valid Loss:  0.5627 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [6]	 Train Loss:  0.285456 	 Train Accuracy:  0.9841 	Valid Loss:  0.5110 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [7]	 Train Loss:  0.247839 	 Train Accuracy:  0.9841 	Valid Loss:  0.4878 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [8]	 Train Loss:  0.202154 	 Train Accuracy:  0.9921 	Valid Loss:  0.4830 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [9]	 Train Loss:  0.197845 	 Train Accuracy:  1.0000 	Valid Loss:  0.4917 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [10]	 Train Loss:  0.152082 	 Train Accuracy:  1.0000 	Valid Loss:  0.5121 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [11]	 Train Loss:  0.147476 	 Train Accuracy:  1.0000 	Valid Loss:  0.5332 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [12]	 Train Loss:  0.137746 	 Train Accuracy:  1.0000 	Valid Loss:  0.5537 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [13]	 Train Loss:  0.155988 	 Train Accuracy:  1.0000 	Valid Loss:  0.5712 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [14]	 Train Loss:  0.098389 	 Train Accuracy:  1.0000 	Valid Loss:  0.5898 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [15]	 Train Loss:  0.111515 	 Train Accuracy:  1.0000 	Valid Loss:  0.6062 	 Valid Accuracy:  0.8571
Run: [2]	 Epoch: [16]	 Train Loss:  0.107123 	 Train Accuracy:  1.0000 	Valid Loss:  0.6258 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [17]	 Train Loss:  0.115977 	 Train Accuracy:  1.0000 	Valid Loss:  0.6517 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [18]	 Train Loss:  0.088534 	 Train Accuracy:  1.0000 	Valid Loss:  0.6804 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [19]	 Train Loss:  0.084119 	 Train Accuracy:  1.0000 	Valid Loss:  0.7149 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [20]	 Train Loss:  0.091738 	 Train Accuracy:  1.0000 	Valid Loss:  0.7466 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [21]	 Train Loss:  0.085885 	 Train Accuracy:  1.0000 	Valid Loss:  0.7741 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [22]	 Train Loss:  0.062979 	 Train Accuracy:  1.0000 	Valid Loss:  0.8027 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [23]	 Train Loss:  0.051695 	 Train Accuracy:  1.0000 	Valid Loss:  0.8329 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [24]	 Train Loss:  0.078752 	 Train Accuracy:  1.0000 	Valid Loss:  0.8617 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [25]	 Train Loss:  0.052560 	 Train Accuracy:  1.0000 	Valid Loss:  0.8901 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [26]	 Train Loss:  0.050842 	 Train Accuracy:  1.0000 	Valid Loss:  0.9180 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [27]	 Train Loss:  0.057014 	 Train Accuracy:  1.0000 	Valid Loss:  0.9425 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [28]	 Train Loss:  0.040414 	 Train Accuracy:  1.0000 	Valid Loss:  0.9696 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [29]	 Train Loss:  0.055602 	 Train Accuracy:  1.0000 	Valid Loss:  0.9952 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [30]	 Train Loss:  0.035171 	 Train Accuracy:  1.0000 	Valid Loss:  1.0187 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [31]	 Train Loss:  0.033550 	 Train Accuracy:  1.0000 	Valid Loss:  1.0422 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [32]	 Train Loss:  0.063431 	 Train Accuracy:  1.0000 	Valid Loss:  1.0646 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [33]	 Train Loss:  0.040319 	 Train Accuracy:  1.0000 	Valid Loss:  1.0857 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [34]	 Train Loss:  0.061487 	 Train Accuracy:  1.0000 	Valid Loss:  1.1062 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [35]	 Train Loss:  0.027386 	 Train Accuracy:  1.0000 	Valid Loss:  1.1270 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [36]	 Train Loss:  0.022360 	 Train Accuracy:  1.0000 	Valid Loss:  1.1453 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [37]	 Train Loss:  0.018147 	 Train Accuracy:  1.0000 	Valid Loss:  1.1588 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [38]	 Train Loss:  0.040481 	 Train Accuracy:  1.0000 	Valid Loss:  1.1739 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [39]	 Train Loss:  0.064450 	 Train Accuracy:  1.0000 	Valid Loss:  1.1888 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [40]	 Train Loss:  0.031399 	 Train Accuracy:  1.0000 	Valid Loss:  1.2038 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [41]	 Train Loss:  0.018500 	 Train Accuracy:  1.0000 	Valid Loss:  1.2185 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [42]	 Train Loss:  0.031953 	 Train Accuracy:  1.0000 	Valid Loss:  1.2321 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [43]	 Train Loss:  0.021628 	 Train Accuracy:  1.0000 	Valid Loss:  1.2510 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [44]	 Train Loss:  0.030894 	 Train Accuracy:  1.0000 	Valid Loss:  1.2764 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [45]	 Train Loss:  0.038109 	 Train Accuracy:  1.0000 	Valid Loss:  1.3051 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [46]	 Train Loss:  0.024347 	 Train Accuracy:  1.0000 	Valid Loss:  1.3317 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [47]	 Train Loss:  0.013290 	 Train Accuracy:  1.0000 	Valid Loss:  1.3558 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [48]	 Train Loss:  0.020149 	 Train Accuracy:  1.0000 	Valid Loss:  1.3881 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [49]	 Train Loss:  0.012646 	 Train Accuracy:  1.0000 	Valid Loss:  1.4137 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [50]	 Train Loss:  0.020770 	 Train Accuracy:  1.0000 	Valid Loss:  1.4335 	 Valid Accuracy:  0.7143
Test Accuracy in run 2 is: 0.8888888955116272
Total Train Accuracy after run 2 is: 1.0000
Total Test Accuracy after run 2 is: 0.9306
Best Test Accuracy in 2 runs is: 0.9722
Run: [3]	 Epoch: [1]	 Train Loss:  1.771693 	 Train Accuracy:  0.6429 	Valid Loss:  1.4133 	 Valid Accuracy:  0.4286
Run: [3]	 Epoch: [2]	 Train Loss:  0.943328 	 Train Accuracy:  0.7540 	Valid Loss:  1.2635 	 Valid Accuracy:  0.5000
Run: [3]	 Epoch: [3]	 Train Loss:  0.953747 	 Train Accuracy:  0.9286 	Valid Loss:  0.7434 	 Valid Accuracy:  0.7857
