==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.1
data_dir:/data/entity
batch_size:1
dataset:AIFB
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
no_fusion:True
kernel_size:64
block_type:res
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-AIFB-res-7-16-No fuse
time:210302-16-58-30
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-AIFB-res-7-16-No fuse-210302-16-58-30
logdir:/content/drive/My Drive/denseR/logs/denseR-AIFB-res-7-16-No fuse-210302-16-58-30
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 140 	 Number of testing nodes: 36	 Total Number of labelled nodes: 176
Number of classes in this graph: 4 	 Number of nodes: 8285 	 Number of relation types: 90
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  7.509961 	 Train Accuracy:  0.5556 	Valid Loss:  3.7354 	 Valid Accuracy:  0.1429
Run: [1]	 Epoch: [2]	 Train Loss:  1.924875 	 Train Accuracy:  0.9524 	Valid Loss:  1.4002 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [3]	 Train Loss:  0.147145 	 Train Accuracy:  0.9921 	Valid Loss:  1.1817 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [4]	 Train Loss:  0.031186 	 Train Accuracy:  1.0000 	Valid Loss:  1.0709 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [5]	 Train Loss:  0.013793 	 Train Accuracy:  1.0000 	Valid Loss:  1.0212 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [6]	 Train Loss:  0.007366 	 Train Accuracy:  1.0000 	Valid Loss:  0.9960 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [7]	 Train Loss:  0.005159 	 Train Accuracy:  1.0000 	Valid Loss:  0.9655 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [8]	 Train Loss:  0.004000 	 Train Accuracy:  1.0000 	Valid Loss:  0.9277 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [9]	 Train Loss:  0.003136 	 Train Accuracy:  1.0000 	Valid Loss:  0.9013 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [10]	 Train Loss:  0.002342 	 Train Accuracy:  1.0000 	Valid Loss:  0.8861 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [11]	 Train Loss:  0.001815 	 Train Accuracy:  1.0000 	Valid Loss:  0.8819 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [12]	 Train Loss:  0.001442 	 Train Accuracy:  1.0000 	Valid Loss:  0.8809 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [13]	 Train Loss:  0.001168 	 Train Accuracy:  1.0000 	Valid Loss:  0.8817 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [14]	 Train Loss:  0.000987 	 Train Accuracy:  1.0000 	Valid Loss:  0.8827 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [15]	 Train Loss:  0.000862 	 Train Accuracy:  1.0000 	Valid Loss:  0.8825 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [16]	 Train Loss:  0.000770 	 Train Accuracy:  1.0000 	Valid Loss:  0.8835 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [17]	 Train Loss:  0.000700 	 Train Accuracy:  1.0000 	Valid Loss:  0.8832 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [18]	 Train Loss:  0.000641 	 Train Accuracy:  1.0000 	Valid Loss:  0.8820 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [19]	 Train Loss:  0.000595 	 Train Accuracy:  1.0000 	Valid Loss:  0.8808 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [20]	 Train Loss:  0.000557 	 Train Accuracy:  1.0000 	Valid Loss:  0.8777 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [21]	 Train Loss:  0.000523 	 Train Accuracy:  1.0000 	Valid Loss:  0.8735 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [22]	 Train Loss:  0.000495 	 Train Accuracy:  1.0000 	Valid Loss:  0.8705 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [23]	 Train Loss:  0.000472 	 Train Accuracy:  1.0000 	Valid Loss:  0.8686 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [24]	 Train Loss:  0.000455 	 Train Accuracy:  1.0000 	Valid Loss:  0.8674 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [25]	 Train Loss:  0.000440 	 Train Accuracy:  1.0000 	Valid Loss:  0.8667 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [26]	 Train Loss:  0.000425 	 Train Accuracy:  1.0000 	Valid Loss:  0.8663 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [27]	 Train Loss:  0.000413 	 Train Accuracy:  1.0000 	Valid Loss:  0.8662 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [28]	 Train Loss:  0.000404 	 Train Accuracy:  1.0000 	Valid Loss:  0.8666 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [29]	 Train Loss:  0.000395 	 Train Accuracy:  1.0000 	Valid Loss:  0.8670 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [30]	 Train Loss:  0.000388 	 Train Accuracy:  1.0000 	Valid Loss:  0.8672 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [31]	 Train Loss:  0.000382 	 Train Accuracy:  1.0000 	Valid Loss:  0.8670 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [32]	 Train Loss:  0.000376 	 Train Accuracy:  1.0000 	Valid Loss:  0.8667 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [33]	 Train Loss:  0.000370 	 Train Accuracy:  1.0000 	Valid Loss:  0.8664 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [34]	 Train Loss:  0.000363 	 Train Accuracy:  1.0000 	Valid Loss:  0.8672 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [35]	 Train Loss:  0.000358 	 Train Accuracy:  1.0000 	Valid Loss:  0.8680 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [36]	 Train Loss:  0.000354 	 Train Accuracy:  1.0000 	Valid Loss:  0.8680 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [37]	 Train Loss:  0.000349 	 Train Accuracy:  1.0000 	Valid Loss:  0.8680 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [38]	 Train Loss:  0.000344 	 Train Accuracy:  1.0000 	Valid Loss:  0.8681 	 Valid Accuracy:  0.8571
