==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
no_fusion:True
kernel_size:64
block_type:dense
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-dense-14-16-No fuse
time:210302-18-42-47
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-dense-14-16-No fuse-210302-18-42-47
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-dense-14-16-No fuse-210302-18-42-47
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  6.185366 	 Train Accuracy:  0.6267 	Valid Loss:  3.5364 	 Valid Accuracy:  0.3818
Run: [1]	 Epoch: [2]	 Train Loss:  2.985745 	 Train Accuracy:  0.9724 	Valid Loss:  3.3474 	 Valid Accuracy:  0.4000
Run: [1]	 Epoch: [3]	 Train Loss:  2.311796 	 Train Accuracy:  1.0000 	Valid Loss:  3.2282 	 Valid Accuracy:  0.5273
Run: [1]	 Epoch: [4]	 Train Loss:  2.066626 	 Train Accuracy:  1.0000 	Valid Loss:  3.1327 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [5]	 Train Loss:  1.934021 	 Train Accuracy:  1.0000 	Valid Loss:  3.0531 	 Valid Accuracy:  0.5273
Run: [1]	 Epoch: [6]	 Train Loss:  1.853144 	 Train Accuracy:  1.0000 	Valid Loss:  2.9810 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [7]	 Train Loss:  1.787411 	 Train Accuracy:  1.0000 	Valid Loss:  2.9170 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [8]	 Train Loss:  1.728115 	 Train Accuracy:  1.0000 	Valid Loss:  2.8609 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [9]	 Train Loss:  1.672901 	 Train Accuracy:  1.0000 	Valid Loss:  2.8105 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [10]	 Train Loss:  1.619454 	 Train Accuracy:  1.0000 	Valid Loss:  2.7645 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [11]	 Train Loss:  1.567097 	 Train Accuracy:  1.0000 	Valid Loss:  2.7217 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [12]	 Train Loss:  1.515949 	 Train Accuracy:  1.0000 	Valid Loss:  2.6810 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [13]	 Train Loss:  1.465665 	 Train Accuracy:  1.0000 	Valid Loss:  2.6415 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [14]	 Train Loss:  1.416102 	 Train Accuracy:  1.0000 	Valid Loss:  2.6032 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [15]	 Train Loss:  1.367789 	 Train Accuracy:  1.0000 	Valid Loss:  2.5658 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [16]	 Train Loss:  1.320942 	 Train Accuracy:  1.0000 	Valid Loss:  2.5287 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [17]	 Train Loss:  1.275403 	 Train Accuracy:  1.0000 	Valid Loss:  2.4910 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [18]	 Train Loss:  1.230782 	 Train Accuracy:  1.0000 	Valid Loss:  2.4525 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [19]	 Train Loss:  1.187146 	 Train Accuracy:  1.0000 	Valid Loss:  2.4133 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [20]	 Train Loss:  1.144693 	 Train Accuracy:  1.0000 	Valid Loss:  2.3730 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [21]	 Train Loss:  1.103125 	 Train Accuracy:  1.0000 	Valid Loss:  2.3330 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [22]	 Train Loss:  1.063428 	 Train Accuracy:  1.0000 	Valid Loss:  2.2917 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [23]	 Train Loss:  1.024020 	 Train Accuracy:  1.0000 	Valid Loss:  2.2519 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [24]	 Train Loss:  0.986878 	 Train Accuracy:  1.0000 	Valid Loss:  2.2119 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [25]	 Train Loss:  0.950116 	 Train Accuracy:  1.0000 	Valid Loss:  2.1725 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [26]	 Train Loss:  0.914013 	 Train Accuracy:  1.0000 	Valid Loss:  2.1350 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [27]	 Train Loss:  0.879502 	 Train Accuracy:  1.0000 	Valid Loss:  2.0988 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [28]	 Train Loss:  0.846082 	 Train Accuracy:  1.0000 	Valid Loss:  2.0634 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [29]	 Train Loss:  0.813264 	 Train Accuracy:  1.0000 	Valid Loss:  2.0289 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [30]	 Train Loss:  0.781205 	 Train Accuracy:  1.0000 	Valid Loss:  1.9959 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [31]	 Train Loss:  0.750411 	 Train Accuracy:  1.0000 	Valid Loss:  1.9646 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [32]	 Train Loss:  0.721071 	 Train Accuracy:  1.0000 	Valid Loss:  1.9339 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [33]	 Train Loss:  0.692482 	 Train Accuracy:  1.0000 	Valid Loss:  1.9035 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [34]	 Train Loss:  0.664598 	 Train Accuracy:  1.0000 	Valid Loss:  1.8748 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [35]	 Train Loss:  0.638559 	 Train Accuracy:  1.0000 	Valid Loss:  1.8471 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [36]	 Train Loss:  0.613908 	 Train Accuracy:  1.0000 	Valid Loss:  1.8198 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [37]	 Train Loss:  0.590075 	 Train Accuracy:  1.0000 	Valid Loss:  1.7928 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [38]	 Train Loss:  0.566971 	 Train Accuracy:  1.0000 	Valid Loss:  1.7674 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [39]	 Train Loss:  0.545480 	 Train Accuracy:  1.0000 	Valid Loss:  1.7419 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [40]	 Train Loss:  0.524299 	 Train Accuracy:  1.0000 	Valid Loss:  1.7173 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [41]	 Train Loss:  0.504213 	 Train Accuracy:  1.0000 	Valid Loss:  1.6937 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [42]	 Train Loss:  0.485228 	 Train Accuracy:  1.0000 	Valid Loss:  1.6711 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [43]	 Train Loss:  0.466895 	 Train Accuracy:  1.0000 	Valid Loss:  1.6498 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [44]	 Train Loss:  0.449336 	 Train Accuracy:  1.0000 	Valid Loss:  1.6304 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [45]	 Train Loss:  0.432765 	 Train Accuracy:  1.0000 	Valid Loss:  1.6125 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [46]	 Train Loss:  0.416789 	 Train Accuracy:  1.0000 	Valid Loss:  1.5960 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [47]	 Train Loss:  0.401479 	 Train Accuracy:  1.0000 	Valid Loss:  1.5807 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [48]	 Train Loss:  0.386800 	 Train Accuracy:  1.0000 	Valid Loss:  1.5672 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [49]	 Train Loss:  0.373067 	 Train Accuracy:  1.0000 	Valid Loss:  1.5537 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [50]	 Train Loss:  0.359351 	 Train Accuracy:  1.0000 	Valid Loss:  1.5416 	 Valid Accuracy:  0.5636
Test Accuracy in run 1 is: 0.6617646813392639
Total Train Accuracy after run 1 is: 1.0000
Total Test Accuracy after run 1 is: 0.6618
Best Test Accuracy in 1 runs is: 0.6618
Run: [2]	 Epoch: [1]	 Train Loss:  6.204720 	 Train Accuracy:  0.5899 	Valid Loss:  3.6448 	 Valid Accuracy:  0.3636
Run: [2]	 Epoch: [2]	 Train Loss:  3.067627 	 Train Accuracy:  0.9816 	Valid Loss:  3.5214 	 Valid Accuracy:  0.4909
Run: [2]	 Epoch: [3]	 Train Loss:  2.256367 	 Train Accuracy:  0.9954 	Valid Loss:  3.4083 	 Valid Accuracy:  0.4727
Run: [2]	 Epoch: [4]	 Train Loss:  2.035676 	 Train Accuracy:  1.0000 	Valid Loss:  3.3137 	 Valid Accuracy:  0.4545
Run: [2]	 Epoch: [5]	 Train Loss:  1.933462 	 Train Accuracy:  1.0000 	Valid Loss:  3.2121 	 Valid Accuracy:  0.4545
Run: [2]	 Epoch: [6]	 Train Loss:  1.858408 	 Train Accuracy:  1.0000 	Valid Loss:  3.1079 	 Valid Accuracy:  0.4545
Run: [2]	 Epoch: [7]	 Train Loss:  1.793498 	 Train Accuracy:  1.0000 	Valid Loss:  3.0055 	 Valid Accuracy:  0.4909
Run: [2]	 Epoch: [8]	 Train Loss:  1.732889 	 Train Accuracy:  1.0000 	Valid Loss:  2.9091 	 Valid Accuracy:  0.5091
Run: [2]	 Epoch: [9]	 Train Loss:  1.675008 	 Train Accuracy:  1.0000 	Valid Loss:  2.8204 	 Valid Accuracy:  0.5818
Run: [2]	 Epoch: [10]	 Train Loss:  1.619368 	 Train Accuracy:  1.0000 	Valid Loss:  2.7398 	 Valid Accuracy:  0.6000
Run: [2]	 Epoch: [11]	 Train Loss:  1.565839 	 Train Accuracy:  1.0000 	Valid Loss:  2.6659 	 Valid Accuracy:  0.5818
Run: [2]	 Epoch: [12]	 Train Loss:  1.514076 	 Train Accuracy:  1.0000 	Valid Loss:  2.5976 	 Valid Accuracy:  0.5818
