==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:dense
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:32
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-dense-14-32
time:210217-00-07-03
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-dense-14-32-210217-00-07-03
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-dense-14-32-210217-00-07-03
device:cpu
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
RDFLib Version: 5.0.0
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  0.919088 	 Train Accuracy:  0.6175 	Valid Loss:  0.7247 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [2]	 Train Loss:  0.679672 	 Train Accuracy:  0.3825 	Valid Loss:  1.0359 	 Valid Accuracy:  0.4182
Run: [1]	 Epoch: [3]	 Train Loss:  1.106958 	 Train Accuracy:  0.6175 	Valid Loss:  0.6759 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [4]	 Train Loss:  0.623607 	 Train Accuracy:  0.6175 	Valid Loss:  0.6857 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [5]	 Train Loss:  0.644376 	 Train Accuracy:  0.6175 	Valid Loss:  0.6911 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [6]	 Train Loss:  0.641623 	 Train Accuracy:  0.6175 	Valid Loss:  0.6930 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [7]	 Train Loss:  0.641731 	 Train Accuracy:  0.6175 	Valid Loss:  0.6914 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [8]	 Train Loss:  0.638841 	 Train Accuracy:  0.6175 	Valid Loss:  0.6876 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [9]	 Train Loss:  0.629222 	 Train Accuracy:  0.6175 	Valid Loss:  0.6829 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [10]	 Train Loss:  0.634900 	 Train Accuracy:  0.6175 	Valid Loss:  0.6782 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [11]	 Train Loss:  0.622106 	 Train Accuracy:  0.6175 	Valid Loss:  0.6743 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [12]	 Train Loss:  0.616995 	 Train Accuracy:  0.6175 	Valid Loss:  0.6712 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [13]	 Train Loss:  0.611004 	 Train Accuracy:  0.6175 	Valid Loss:  0.6692 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [14]	 Train Loss:  0.610592 	 Train Accuracy:  0.6175 	Valid Loss:  0.6677 	 Valid Accuracy:  0.5818
