==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.1
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
no_fusion:True
kernel_size:64
block_type:dense
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-dense-7-16-No fuse
time:210302-17-39-52
save_path:/content/drive/MyDrive/denseR/checkpoints/ckpts-denseR-MUTAG-dense-7-16-No fuse-210302-17-39-52
logdir:/content/drive/MyDrive/denseR/logs/denseR-MUTAG-dense-7-16-No fuse-210302-17-39-52
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  5.513488 	 Train Accuracy:  0.6352 	Valid Loss:  2.6673 	 Valid Accuracy:  0.5357
Run: [1]	 Epoch: [2]	 Train Loss:  2.407506 	 Train Accuracy:  0.9590 	Valid Loss:  2.4594 	 Valid Accuracy:  0.5357
Run: [1]	 Epoch: [3]	 Train Loss:  1.740968 	 Train Accuracy:  1.0000 	Valid Loss:  2.3428 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [4]	 Train Loss:  1.494304 	 Train Accuracy:  1.0000 	Valid Loss:  2.2858 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [5]	 Train Loss:  1.371606 	 Train Accuracy:  1.0000 	Valid Loss:  2.2435 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [6]	 Train Loss:  1.295724 	 Train Accuracy:  1.0000 	Valid Loss:  2.2083 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [7]	 Train Loss:  1.237378 	 Train Accuracy:  1.0000 	Valid Loss:  2.1752 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [8]	 Train Loss:  1.184292 	 Train Accuracy:  1.0000 	Valid Loss:  2.1423 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [9]	 Train Loss:  1.134435 	 Train Accuracy:  1.0000 	Valid Loss:  2.1092 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [10]	 Train Loss:  1.088082 	 Train Accuracy:  1.0000 	Valid Loss:  2.0750 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [11]	 Train Loss:  1.044786 	 Train Accuracy:  1.0000 	Valid Loss:  2.0388 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [12]	 Train Loss:  1.003676 	 Train Accuracy:  1.0000 	Valid Loss:  2.0009 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [13]	 Train Loss:  0.964200 	 Train Accuracy:  1.0000 	Valid Loss:  1.9624 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [14]	 Train Loss:  0.926111 	 Train Accuracy:  1.0000 	Valid Loss:  1.9248 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [15]	 Train Loss:  0.889282 	 Train Accuracy:  1.0000 	Valid Loss:  1.8890 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [16]	 Train Loss:  0.853655 	 Train Accuracy:  1.0000 	Valid Loss:  1.8557 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [17]	 Train Loss:  0.819255 	 Train Accuracy:  1.0000 	Valid Loss:  1.8247 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [18]	 Train Loss:  0.786160 	 Train Accuracy:  1.0000 	Valid Loss:  1.7959 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [19]	 Train Loss:  0.754371 	 Train Accuracy:  1.0000 	Valid Loss:  1.7688 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [20]	 Train Loss:  0.723816 	 Train Accuracy:  1.0000 	Valid Loss:  1.7429 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [21]	 Train Loss:  0.694402 	 Train Accuracy:  1.0000 	Valid Loss:  1.7177 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [22]	 Train Loss:  0.666059 	 Train Accuracy:  1.0000 	Valid Loss:  1.6925 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [23]	 Train Loss:  0.638745 	 Train Accuracy:  1.0000 	Valid Loss:  1.6668 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [24]	 Train Loss:  0.612447 	 Train Accuracy:  1.0000 	Valid Loss:  1.6406 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [25]	 Train Loss:  0.587164 	 Train Accuracy:  1.0000 	Valid Loss:  1.6140 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [26]	 Train Loss:  0.562891 	 Train Accuracy:  1.0000 	Valid Loss:  1.5874 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [27]	 Train Loss:  0.539668 	 Train Accuracy:  1.0000 	Valid Loss:  1.5616 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [28]	 Train Loss:  0.517482 	 Train Accuracy:  1.0000 	Valid Loss:  1.5364 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [29]	 Train Loss:  0.496031 	 Train Accuracy:  1.0000 	Valid Loss:  1.5120 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [30]	 Train Loss:  0.475179 	 Train Accuracy:  1.0000 	Valid Loss:  1.4886 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [31]	 Train Loss:  0.455156 	 Train Accuracy:  1.0000 	Valid Loss:  1.4666 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [32]	 Train Loss:  0.436097 	 Train Accuracy:  1.0000 	Valid Loss:  1.4456 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [33]	 Train Loss:  0.418021 	 Train Accuracy:  1.0000 	Valid Loss:  1.4256 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [34]	 Train Loss:  0.400944 	 Train Accuracy:  1.0000 	Valid Loss:  1.4063 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [35]	 Train Loss:  0.384839 	 Train Accuracy:  1.0000 	Valid Loss:  1.3876 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [36]	 Train Loss:  0.369611 	 Train Accuracy:  1.0000 	Valid Loss:  1.3694 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [37]	 Train Loss:  0.355153 	 Train Accuracy:  1.0000 	Valid Loss:  1.3519 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [38]	 Train Loss:  0.341415 	 Train Accuracy:  1.0000 	Valid Loss:  1.3355 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [39]	 Train Loss:  0.328418 	 Train Accuracy:  1.0000 	Valid Loss:  1.3204 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [40]	 Train Loss:  0.316163 	 Train Accuracy:  1.0000 	Valid Loss:  1.3066 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [41]	 Train Loss:  0.304441 	 Train Accuracy:  1.0000 	Valid Loss:  1.2943 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [42]	 Train Loss:  0.293145 	 Train Accuracy:  1.0000 	Valid Loss:  1.2839 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [43]	 Train Loss:  0.282500 	 Train Accuracy:  1.0000 	Valid Loss:  1.2752 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [44]	 Train Loss:  0.272447 	 Train Accuracy:  1.0000 	Valid Loss:  1.2678 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [45]	 Train Loss:  0.262739 	 Train Accuracy:  1.0000 	Valid Loss:  1.2619 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [46]	 Train Loss:  0.253748 	 Train Accuracy:  1.0000 	Valid Loss:  1.2565 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [47]	 Train Loss:  0.244980 	 Train Accuracy:  1.0000 	Valid Loss:  1.2512 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [48]	 Train Loss:  0.236591 	 Train Accuracy:  1.0000 	Valid Loss:  1.2459 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [49]	 Train Loss:  0.228769 	 Train Accuracy:  1.0000 	Valid Loss:  1.2399 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [50]	 Train Loss:  0.221156 	 Train Accuracy:  1.0000 	Valid Loss:  1.2337 	 Valid Accuracy:  0.6071
Test Accuracy in run 1 is: 0.7058823704719543
Total Train Accuracy after run 1 is: 1.0000
Total Test Accuracy after run 1 is: 0.7059
Best Test Accuracy in 1 runs is: 0.7059
Run: [2]	 Epoch: [1]	 Train Loss:  5.574083 	 Train Accuracy:  0.7541 	Valid Loss:  3.0025 	 Valid Accuracy:  0.4286
Run: [2]	 Epoch: [2]	 Train Loss:  2.212663 	 Train Accuracy:  0.9754 	Valid Loss:  2.6944 	 Valid Accuracy:  0.5000
Run: [2]	 Epoch: [3]	 Train Loss:  1.607276 	 Train Accuracy:  1.0000 	Valid Loss:  2.5393 	 Valid Accuracy:  0.5357
Run: [2]	 Epoch: [4]	 Train Loss:  1.466731 	 Train Accuracy:  1.0000 	Valid Loss:  2.4387 	 Valid Accuracy:  0.5357
Run: [2]	 Epoch: [5]	 Train Loss:  1.382535 	 Train Accuracy:  1.0000 	Valid Loss:  2.3591 	 Valid Accuracy:  0.5714
Run: [2]	 Epoch: [6]	 Train Loss:  1.314690 	 Train Accuracy:  1.0000 	Valid Loss:  2.2927 	 Valid Accuracy:  0.6071
Run: [2]	 Epoch: [7]	 Train Loss:  1.256278 	 Train Accuracy:  1.0000 	Valid Loss:  2.2382 	 Valid Accuracy:  0.6071
Run: [2]	 Epoch: [8]	 Train Loss:  1.205367 	 Train Accuracy:  1.0000 	Valid Loss:  2.1912 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [9]	 Train Loss:  1.158849 	 Train Accuracy:  1.0000 	Valid Loss:  2.1483 	 Valid Accuracy:  0.6071
Run: [2]	 Epoch: [10]	 Train Loss:  1.114408 	 Train Accuracy:  1.0000 	Valid Loss:  2.1083 	 Valid Accuracy:  0.6786
Run: [2]	 Epoch: [11]	 Train Loss:  1.071544 	 Train Accuracy:  1.0000 	Valid Loss:  2.0705 	 Valid Accuracy:  0.6786
Run: [2]	 Epoch: [12]	 Train Loss:  1.030475 	 Train Accuracy:  1.0000 	Valid Loss:  2.0347 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [13]	 Train Loss:  0.991178 	 Train Accuracy:  1.0000 	Valid Loss:  2.0001 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [14]	 Train Loss:  0.953294 	 Train Accuracy:  1.0000 	Valid Loss:  1.9662 	 Valid Accuracy:  0.6786
