==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
no_fusion:True
kernel_size:64
block_type:plain
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-plain-14-16-No fuse
time:210302-17-49-44
save_path:/content/drive/MyDrive/denseR/checkpoints/ckpts-denseR-MUTAG-plain-14-16-No fuse-210302-17-49-44
logdir:/content/drive/MyDrive/denseR/logs/denseR-MUTAG-plain-14-16-No fuse-210302-17-49-44
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  3.300453 	 Train Accuracy:  0.3779 	Valid Loss:  1.6445 	 Valid Accuracy:  0.4364
Run: [1]	 Epoch: [2]	 Train Loss:  1.636317 	 Train Accuracy:  0.3364 	Valid Loss:  2.2424 	 Valid Accuracy:  0.2727
Run: [1]	 Epoch: [3]	 Train Loss:  2.129009 	 Train Accuracy:  0.6175 	Valid Loss:  1.2016 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [4]	 Train Loss:  1.117754 	 Train Accuracy:  0.6083 	Valid Loss:  0.9892 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [5]	 Train Loss:  0.946325 	 Train Accuracy:  0.5530 	Valid Loss:  0.9701 	 Valid Accuracy:  0.4909
Run: [1]	 Epoch: [6]	 Train Loss:  0.944736 	 Train Accuracy:  0.5576 	Valid Loss:  0.9635 	 Valid Accuracy:  0.5273
Run: [1]	 Epoch: [7]	 Train Loss:  0.937093 	 Train Accuracy:  0.5991 	Valid Loss:  0.9545 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [8]	 Train Loss:  0.921262 	 Train Accuracy:  0.6175 	Valid Loss:  0.9522 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [9]	 Train Loss:  0.911584 	 Train Accuracy:  0.6175 	Valid Loss:  0.9518 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [10]	 Train Loss:  0.907007 	 Train Accuracy:  0.6175 	Valid Loss:  0.9448 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [11]	 Train Loss:  0.900098 	 Train Accuracy:  0.6175 	Valid Loss:  0.9336 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [12]	 Train Loss:  0.890649 	 Train Accuracy:  0.6175 	Valid Loss:  0.9197 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [13]	 Train Loss:  0.880261 	 Train Accuracy:  0.6221 	Valid Loss:  0.9071 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [14]	 Train Loss:  0.871816 	 Train Accuracy:  0.6221 	Valid Loss:  0.8978 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [15]	 Train Loss:  0.865582 	 Train Accuracy:  0.6221 	Valid Loss:  0.8903 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [16]	 Train Loss:  0.859422 	 Train Accuracy:  0.6221 	Valid Loss:  0.8834 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [17]	 Train Loss:  0.851786 	 Train Accuracy:  0.6221 	Valid Loss:  0.8772 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [18]	 Train Loss:  0.843278 	 Train Accuracy:  0.6221 	Valid Loss:  0.8727 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [19]	 Train Loss:  0.835913 	 Train Accuracy:  0.6221 	Valid Loss:  0.8696 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [20]	 Train Loss:  0.830324 	 Train Accuracy:  0.6221 	Valid Loss:  0.8652 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [21]	 Train Loss:  0.824772 	 Train Accuracy:  0.6221 	Valid Loss:  0.8582 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [22]	 Train Loss:  0.818115 	 Train Accuracy:  0.6221 	Valid Loss:  0.8505 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [23]	 Train Loss:  0.811440 	 Train Accuracy:  0.6221 	Valid Loss:  0.8431 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [24]	 Train Loss:  0.805337 	 Train Accuracy:  0.6221 	Valid Loss:  0.8362 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [25]	 Train Loss:  0.799824 	 Train Accuracy:  0.6221 	Valid Loss:  0.8298 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [26]	 Train Loss:  0.794377 	 Train Accuracy:  0.6221 	Valid Loss:  0.8236 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [27]	 Train Loss:  0.788510 	 Train Accuracy:  0.6221 	Valid Loss:  0.8192 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [28]	 Train Loss:  0.782821 	 Train Accuracy:  0.6221 	Valid Loss:  0.8156 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [29]	 Train Loss:  0.777667 	 Train Accuracy:  0.6221 	Valid Loss:  0.8120 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [30]	 Train Loss:  0.772995 	 Train Accuracy:  0.6221 	Valid Loss:  0.8074 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [31]	 Train Loss:  0.768211 	 Train Accuracy:  0.6221 	Valid Loss:  0.8016 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [32]	 Train Loss:  0.763186 	 Train Accuracy:  0.6221 	Valid Loss:  0.7955 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [33]	 Train Loss:  0.758437 	 Train Accuracy:  0.6221 	Valid Loss:  0.7900 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [34]	 Train Loss:  0.754138 	 Train Accuracy:  0.6267 	Valid Loss:  0.7853 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [35]	 Train Loss:  0.749810 	 Train Accuracy:  0.6221 	Valid Loss:  0.7810 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [36]	 Train Loss:  0.745239 	 Train Accuracy:  0.6221 	Valid Loss:  0.7774 	 Valid Accuracy:  0.5818
