==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:plain
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:64
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-plain-14-64
time:210301-02-05-17
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-plain-14-64-210301-02-05-17
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-plain-14-64-210301-02-05-17
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  0.924075 	 Train Accuracy:  0.6175 	Valid Loss:  1.3170 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [2]	 Train Loss:  1.242194 	 Train Accuracy:  0.7005 	Valid Loss:  0.6836 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [3]	 Train Loss:  0.673798 	 Train Accuracy:  0.6175 	Valid Loss:  0.6959 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [4]	 Train Loss:  0.667919 	 Train Accuracy:  0.6175 	Valid Loss:  0.6883 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [5]	 Train Loss:  0.673955 	 Train Accuracy:  0.6175 	Valid Loss:  0.6800 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [6]	 Train Loss:  0.658569 	 Train Accuracy:  0.6175 	Valid Loss:  0.6748 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [7]	 Train Loss:  0.650724 	 Train Accuracy:  0.6175 	Valid Loss:  0.6728 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [8]	 Train Loss:  0.656104 	 Train Accuracy:  0.6175 	Valid Loss:  0.6726 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [9]	 Train Loss:  0.648531 	 Train Accuracy:  0.6175 	Valid Loss:  0.6727 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [10]	 Train Loss:  0.675467 	 Train Accuracy:  0.6175 	Valid Loss:  0.6723 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [11]	 Train Loss:  0.654318 	 Train Accuracy:  0.6175 	Valid Loss:  0.6715 	 Valid Accuracy:  0.5818
