==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
no_fusion:False
kernel_size:64
block_type:plain
n_layers:4
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-plain-4-16-fuse
time:210303-05-26-54
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-plain-4-16-fuse-210303-05-26-54
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-plain-4-16-fuse-210303-05-26-54
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  0.783507 	 Train Accuracy:  0.6682 	Valid Loss:  0.6492 	 Valid Accuracy:  0.7273
Run: [1]	 Epoch: [2]	 Train Loss:  0.646324 	 Train Accuracy:  0.6175 	Valid Loss:  0.8681 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [3]	 Train Loss:  0.662213 	 Train Accuracy:  0.9171 	Valid Loss:  0.6099 	 Valid Accuracy:  0.6909
Run: [1]	 Epoch: [4]	 Train Loss:  0.460631 	 Train Accuracy:  0.9355 	Valid Loss:  0.6400 	 Valid Accuracy:  0.6727
Run: [1]	 Epoch: [5]	 Train Loss:  0.439029 	 Train Accuracy:  0.9770 	Valid Loss:  0.6068 	 Valid Accuracy:  0.6727
Run: [1]	 Epoch: [6]	 Train Loss:  0.330234 	 Train Accuracy:  0.9862 	Valid Loss:  0.5651 	 Valid Accuracy:  0.6909
Run: [1]	 Epoch: [7]	 Train Loss:  0.260691 	 Train Accuracy:  0.9908 	Valid Loss:  0.5814 	 Valid Accuracy:  0.6909
Run: [1]	 Epoch: [8]	 Train Loss:  0.210012 	 Train Accuracy:  0.9954 	Valid Loss:  0.6129 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [9]	 Train Loss:  0.192475 	 Train Accuracy:  1.0000 	Valid Loss:  0.6036 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [10]	 Train Loss:  0.158034 	 Train Accuracy:  1.0000 	Valid Loss:  0.5807 	 Valid Accuracy:  0.6909
Run: [1]	 Epoch: [11]	 Train Loss:  0.140263 	 Train Accuracy:  1.0000 	Valid Loss:  0.5688 	 Valid Accuracy:  0.6727
Run: [1]	 Epoch: [12]	 Train Loss:  0.139412 	 Train Accuracy:  1.0000 	Valid Loss:  0.5663 	 Valid Accuracy:  0.7091
Run: [1]	 Epoch: [13]	 Train Loss:  0.111856 	 Train Accuracy:  1.0000 	Valid Loss:  0.5673 	 Valid Accuracy:  0.7091
Run: [1]	 Epoch: [14]	 Train Loss:  0.107500 	 Train Accuracy:  1.0000 	Valid Loss:  0.5678 	 Valid Accuracy:  0.7273
Run: [1]	 Epoch: [15]	 Train Loss:  0.090364 	 Train Accuracy:  1.0000 	Valid Loss:  0.5700 	 Valid Accuracy:  0.7273
Run: [1]	 Epoch: [16]	 Train Loss:  0.085056 	 Train Accuracy:  1.0000 	Valid Loss:  0.5744 	 Valid Accuracy:  0.7636
Run: [1]	 Epoch: [17]	 Train Loss:  0.076536 	 Train Accuracy:  1.0000 	Valid Loss:  0.5843 	 Valid Accuracy:  0.7636
Run: [1]	 Epoch: [18]	 Train Loss:  0.069833 	 Train Accuracy:  1.0000 	Valid Loss:  0.6008 	 Valid Accuracy:  0.7636
Run: [1]	 Epoch: [19]	 Train Loss:  0.061211 	 Train Accuracy:  1.0000 	Valid Loss:  0.6296 	 Valid Accuracy:  0.7455
Run: [1]	 Epoch: [20]	 Train Loss:  0.052697 	 Train Accuracy:  1.0000 	Valid Loss:  0.6764 	 Valid Accuracy:  0.7091
Run: [1]	 Epoch: [21]	 Train Loss:  0.046044 	 Train Accuracy:  1.0000 	Valid Loss:  0.7322 	 Valid Accuracy:  0.7091
Run: [1]	 Epoch: [22]	 Train Loss:  0.045319 	 Train Accuracy:  1.0000 	Valid Loss:  0.7877 	 Valid Accuracy:  0.7091
Run: [1]	 Epoch: [23]	 Train Loss:  0.033178 	 Train Accuracy:  1.0000 	Valid Loss:  0.8464 	 Valid Accuracy:  0.7091
Run: [1]	 Epoch: [24]	 Train Loss:  0.039636 	 Train Accuracy:  1.0000 	Valid Loss:  0.9088 	 Valid Accuracy:  0.7091
Run: [1]	 Epoch: [25]	 Train Loss:  0.031751 	 Train Accuracy:  1.0000 	Valid Loss:  0.9829 	 Valid Accuracy:  0.6909
Run: [1]	 Epoch: [26]	 Train Loss:  0.029072 	 Train Accuracy:  1.0000 	Valid Loss:  1.0657 	 Valid Accuracy:  0.6909
Run: [1]	 Epoch: [27]	 Train Loss:  0.027996 	 Train Accuracy:  1.0000 	Valid Loss:  1.1377 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [28]	 Train Loss:  0.022608 	 Train Accuracy:  1.0000 	Valid Loss:  1.2037 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [29]	 Train Loss:  0.027872 	 Train Accuracy:  1.0000 	Valid Loss:  1.2725 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [30]	 Train Loss:  0.023746 	 Train Accuracy:  1.0000 	Valid Loss:  1.3349 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [31]	 Train Loss:  0.015391 	 Train Accuracy:  1.0000 	Valid Loss:  1.3886 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [32]	 Train Loss:  0.020354 	 Train Accuracy:  1.0000 	Valid Loss:  1.4336 	 Valid Accuracy:  0.6364
