==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.1
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
no_fusion:True
kernel_size:64
block_type:plain
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-plain-7-16-No fuse
time:210302-17-32-27
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-plain-7-16-No fuse-210302-17-32-27
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-plain-7-16-No fuse-210302-17-32-27
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
RDFLib Version: 5.0.0
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  3.197997 	 Train Accuracy:  0.0328 	Valid Loss:  3.2645 	 Valid Accuracy:  0.0000
Run: [1]	 Epoch: [2]	 Train Loss:  3.209628 	 Train Accuracy:  0.6025 	Valid Loss:  1.1899 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [3]	 Train Loss:  1.296676 	 Train Accuracy:  0.3975 	Valid Loss:  1.1561 	 Valid Accuracy:  0.3571
Run: [1]	 Epoch: [4]	 Train Loss:  1.116857 	 Train Accuracy:  0.6516 	Valid Loss:  0.9619 	 Valid Accuracy:  0.5714
Run: [1]	 Epoch: [5]	 Train Loss:  0.942531 	 Train Accuracy:  0.6107 	Valid Loss:  0.9055 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [6]	 Train Loss:  0.921034 	 Train Accuracy:  0.6066 	Valid Loss:  0.9090 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [7]	 Train Loss:  0.932369 	 Train Accuracy:  0.6066 	Valid Loss:  0.8861 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [8]	 Train Loss:  0.897208 	 Train Accuracy:  0.6270 	Valid Loss:  0.8758 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [9]	 Train Loss:  0.864760 	 Train Accuracy:  0.7131 	Valid Loss:  0.8968 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [10]	 Train Loss:  0.863532 	 Train Accuracy:  0.7418 	Valid Loss:  0.8981 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [11]	 Train Loss:  0.850898 	 Train Accuracy:  0.7336 	Valid Loss:  0.8607 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [12]	 Train Loss:  0.810825 	 Train Accuracy:  0.6639 	Valid Loss:  0.8294 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [13]	 Train Loss:  0.784979 	 Train Accuracy:  0.6434 	Valid Loss:  0.8184 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [14]	 Train Loss:  0.770911 	 Train Accuracy:  0.7008 	Valid Loss:  0.8109 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [15]	 Train Loss:  0.727765 	 Train Accuracy:  0.8074 	Valid Loss:  0.8143 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [16]	 Train Loss:  0.695110 	 Train Accuracy:  0.8238 	Valid Loss:  0.8256 	 Valid Accuracy:  0.5714
Run: [1]	 Epoch: [17]	 Train Loss:  0.677757 	 Train Accuracy:  0.8566 	Valid Loss:  0.8089 	 Valid Accuracy:  0.5714
Run: [1]	 Epoch: [18]	 Train Loss:  0.630193 	 Train Accuracy:  0.8238 	Valid Loss:  0.7945 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [19]	 Train Loss:  0.600746 	 Train Accuracy:  0.8566 	Valid Loss:  0.7855 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [20]	 Train Loss:  0.557413 	 Train Accuracy:  0.8893 	Valid Loss:  0.7916 	 Valid Accuracy:  0.5714
Run: [1]	 Epoch: [21]	 Train Loss:  0.516336 	 Train Accuracy:  0.9180 	Valid Loss:  0.7865 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [22]	 Train Loss:  0.469127 	 Train Accuracy:  0.9098 	Valid Loss:  0.7833 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [23]	 Train Loss:  0.428948 	 Train Accuracy:  0.9426 	Valid Loss:  0.7890 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [24]	 Train Loss:  0.370531 	 Train Accuracy:  0.9508 	Valid Loss:  0.7982 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [25]	 Train Loss:  0.318011 	 Train Accuracy:  0.9508 	Valid Loss:  0.7777 	 Valid Accuracy:  0.6786
Run: [1]	 Epoch: [26]	 Train Loss:  0.264138 	 Train Accuracy:  0.9795 	Valid Loss:  0.8354 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [27]	 Train Loss:  0.211664 	 Train Accuracy:  0.9836 	Valid Loss:  0.8471 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [28]	 Train Loss:  0.169242 	 Train Accuracy:  0.9918 	Valid Loss:  0.8359 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [29]	 Train Loss:  0.136238 	 Train Accuracy:  0.9918 	Valid Loss:  0.8829 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [30]	 Train Loss:  0.115457 	 Train Accuracy:  0.9959 	Valid Loss:  0.9453 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [31]	 Train Loss:  0.102394 	 Train Accuracy:  0.9959 	Valid Loss:  0.9598 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [32]	 Train Loss:  0.081211 	 Train Accuracy:  1.0000 	Valid Loss:  1.1083 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [33]	 Train Loss:  0.074268 	 Train Accuracy:  1.0000 	Valid Loss:  1.1988 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [34]	 Train Loss:  0.071680 	 Train Accuracy:  1.0000 	Valid Loss:  1.1032 	 Valid Accuracy:  0.7500
Run: [1]	 Epoch: [35]	 Train Loss:  0.067024 	 Train Accuracy:  1.0000 	Valid Loss:  0.8254 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [36]	 Train Loss:  0.064483 	 Train Accuracy:  1.0000 	Valid Loss:  0.7798 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [37]	 Train Loss:  0.062305 	 Train Accuracy:  1.0000 	Valid Loss:  0.8201 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [38]	 Train Loss:  0.060289 	 Train Accuracy:  1.0000 	Valid Loss:  0.9142 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [39]	 Train Loss:  0.058387 	 Train Accuracy:  1.0000 	Valid Loss:  0.7774 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [40]	 Train Loss:  0.056595 	 Train Accuracy:  1.0000 	Valid Loss:  0.7591 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [41]	 Train Loss:  0.054914 	 Train Accuracy:  1.0000 	Valid Loss:  0.7857 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [42]	 Train Loss:  0.053355 	 Train Accuracy:  1.0000 	Valid Loss:  0.7949 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [43]	 Train Loss:  0.051884 	 Train Accuracy:  1.0000 	Valid Loss:  0.8107 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [44]	 Train Loss:  0.050511 	 Train Accuracy:  1.0000 	Valid Loss:  0.8386 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [45]	 Train Loss:  0.049218 	 Train Accuracy:  1.0000 	Valid Loss:  0.8701 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [46]	 Train Loss:  0.048001 	 Train Accuracy:  1.0000 	Valid Loss:  0.9083 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [47]	 Train Loss:  0.046841 	 Train Accuracy:  1.0000 	Valid Loss:  0.9632 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [48]	 Train Loss:  0.045728 	 Train Accuracy:  1.0000 	Valid Loss:  1.0189 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [49]	 Train Loss:  0.044675 	 Train Accuracy:  1.0000 	Valid Loss:  1.0652 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [50]	 Train Loss:  0.043662 	 Train Accuracy:  1.0000 	Valid Loss:  1.0944 	 Valid Accuracy:  0.7857
Test Accuracy in run 1 is: 0.6911764740943909
Total Train Accuracy after run 1 is: 1.0000
Total Test Accuracy after run 1 is: 0.6912
Best Test Accuracy in 1 runs is: 0.6912
Run: [2]	 Epoch: [1]	 Train Loss:  3.926234 	 Train Accuracy:  0.0410 	Valid Loss:  3.5291 	 Valid Accuracy:  0.0357
Run: [2]	 Epoch: [2]	 Train Loss:  3.478224 	 Train Accuracy:  0.3934 	Valid Loss:  2.6346 	 Valid Accuracy:  0.3571
Run: [2]	 Epoch: [3]	 Train Loss:  2.524090 	 Train Accuracy:  0.5656 	Valid Loss:  1.0461 	 Valid Accuracy:  0.5714
Run: [2]	 Epoch: [4]	 Train Loss:  0.985574 	 Train Accuracy:  0.6066 	Valid Loss:  1.1228 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [5]	 Train Loss:  1.157420 	 Train Accuracy:  0.6107 	Valid Loss:  0.9260 	 Valid Accuracy:  0.6071
Run: [2]	 Epoch: [6]	 Train Loss:  0.958120 	 Train Accuracy:  0.6066 	Valid Loss:  0.9283 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [7]	 Train Loss:  0.936821 	 Train Accuracy:  0.5738 	Valid Loss:  0.9554 	 Valid Accuracy:  0.6071
Run: [2]	 Epoch: [8]	 Train Loss:  0.951627 	 Train Accuracy:  0.6434 	Valid Loss:  0.9360 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [9]	 Train Loss:  0.934072 	 Train Accuracy:  0.6311 	Valid Loss:  0.8953 	 Valid Accuracy:  0.6786
Run: [2]	 Epoch: [10]	 Train Loss:  0.904083 	 Train Accuracy:  0.6148 	Valid Loss:  0.8727 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [11]	 Train Loss:  0.893069 	 Train Accuracy:  0.6107 	Valid Loss:  0.8672 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [12]	 Train Loss:  0.893323 	 Train Accuracy:  0.6107 	Valid Loss:  0.8599 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [13]	 Train Loss:  0.882132 	 Train Accuracy:  0.6148 	Valid Loss:  0.8460 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [14]	 Train Loss:  0.855405 	 Train Accuracy:  0.6475 	Valid Loss:  0.8387 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [15]	 Train Loss:  0.829530 	 Train Accuracy:  0.7049 	Valid Loss:  0.8422 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [16]	 Train Loss:  0.813165 	 Train Accuracy:  0.7910 	Valid Loss:  0.8396 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [17]	 Train Loss:  0.793408 	 Train Accuracy:  0.7910 	Valid Loss:  0.8191 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [18]	 Train Loss:  0.760039 	 Train Accuracy:  0.7295 	Valid Loss:  0.8028 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [19]	 Train Loss:  0.730587 	 Train Accuracy:  0.7541 	Valid Loss:  0.7938 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [20]	 Train Loss:  0.693449 	 Train Accuracy:  0.8689 	Valid Loss:  0.7863 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [21]	 Train Loss:  0.633122 	 Train Accuracy:  0.8689 	Valid Loss:  0.7923 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [22]	 Train Loss:  0.580518 	 Train Accuracy:  0.9057 	Valid Loss:  0.7613 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [23]	 Train Loss:  0.497662 	 Train Accuracy:  0.9139 	Valid Loss:  0.7310 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [24]	 Train Loss:  0.417131 	 Train Accuracy:  0.9713 	Valid Loss:  0.7278 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [25]	 Train Loss:  0.314202 	 Train Accuracy:  0.9795 	Valid Loss:  0.7588 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [26]	 Train Loss:  0.230831 	 Train Accuracy:  0.9918 	Valid Loss:  0.8276 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [27]	 Train Loss:  0.167615 	 Train Accuracy:  0.9918 	Valid Loss:  0.8035 	 Valid Accuracy:  0.8214
Run: [2]	 Epoch: [28]	 Train Loss:  0.145672 	 Train Accuracy:  0.9959 	Valid Loss:  0.8551 	 Valid Accuracy:  0.8214
Run: [2]	 Epoch: [29]	 Train Loss:  0.120198 	 Train Accuracy:  1.0000 	Valid Loss:  1.1491 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [30]	 Train Loss:  0.106643 	 Train Accuracy:  1.0000 	Valid Loss:  1.2491 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [31]	 Train Loss:  0.100983 	 Train Accuracy:  1.0000 	Valid Loss:  1.2838 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [32]	 Train Loss:  0.097310 	 Train Accuracy:  1.0000 	Valid Loss:  1.2886 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [33]	 Train Loss:  0.094039 	 Train Accuracy:  1.0000 	Valid Loss:  1.0806 	 Valid Accuracy:  0.7500
Run: [2]	 Epoch: [34]	 Train Loss:  0.090763 	 Train Accuracy:  1.0000 	Valid Loss:  0.8624 	 Valid Accuracy:  0.8214
Run: [2]	 Epoch: [35]	 Train Loss:  0.087762 	 Train Accuracy:  1.0000 	Valid Loss:  0.9363 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [36]	 Train Loss:  0.084954 	 Train Accuracy:  1.0000 	Valid Loss:  1.1129 	 Valid Accuracy:  0.7857
Run: [2]	 Epoch: [37]	 Train Loss:  0.097360 	 Train Accuracy:  0.6066 	Valid Loss:  1.8402 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [38]	 Train Loss:  1.885532 	 Train Accuracy:  0.6066 	Valid Loss:  1.8429 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [39]	 Train Loss:  1.925738 	 Train Accuracy:  0.6066 	Valid Loss:  1.7776 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [40]	 Train Loss:  1.694623 	 Train Accuracy:  0.6066 	Valid Loss:  1.3796 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [41]	 Train Loss:  1.129683 	 Train Accuracy:  0.6148 	Valid Loss:  0.9066 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [42]	 Train Loss:  0.705284 	 Train Accuracy:  0.7664 	Valid Loss:  0.7863 	 Valid Accuracy:  0.6071
Run: [2]	 Epoch: [43]	 Train Loss:  0.677885 	 Train Accuracy:  0.4795 	Valid Loss:  0.9461 	 Valid Accuracy:  0.4286
Run: [2]	 Epoch: [44]	 Train Loss:  0.833707 	 Train Accuracy:  0.4918 	Valid Loss:  0.9807 	 Valid Accuracy:  0.4286
Run: [2]	 Epoch: [45]	 Train Loss:  0.807009 	 Train Accuracy:  0.7254 	Valid Loss:  0.8570 	 Valid Accuracy:  0.5000
Run: [2]	 Epoch: [46]	 Train Loss:  0.630291 	 Train Accuracy:  0.9590 	Valid Loss:  0.7954 	 Valid Accuracy:  0.6071
Run: [2]	 Epoch: [47]	 Train Loss:  0.472653 	 Train Accuracy:  0.9795 	Valid Loss:  0.8319 	 Valid Accuracy:  0.6071
Run: [2]	 Epoch: [48]	 Train Loss:  0.419187 	 Train Accuracy:  0.9057 	Valid Loss:  0.8942 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [49]	 Train Loss:  0.420587 	 Train Accuracy:  0.9139 	Valid Loss:  0.9529 	 Valid Accuracy:  0.6429
Run: [2]	 Epoch: [50]	 Train Loss:  0.393710 	 Train Accuracy:  0.9672 	Valid Loss:  0.9904 	 Valid Accuracy:  0.6429
Test Accuracy in run 2 is: 0.6470588445663452
Total Train Accuracy after run 2 is: 0.9836
Total Test Accuracy after run 2 is: 0.6691
Best Test Accuracy in 2 runs is: 0.6912
Run: [3]	 Epoch: [1]	 Train Loss:  4.081709 	 Train Accuracy:  0.2377 	Valid Loss:  3.1332 	 Valid Accuracy:  0.2500
Run: [3]	 Epoch: [2]	 Train Loss:  3.013919 	 Train Accuracy:  0.3934 	Valid Loss:  2.7616 	 Valid Accuracy:  0.3571
Run: [3]	 Epoch: [3]	 Train Loss:  2.648845 	 Train Accuracy:  0.3934 	Valid Loss:  2.0133 	 Valid Accuracy:  0.3571
Run: [3]	 Epoch: [4]	 Train Loss:  1.920420 	 Train Accuracy:  0.5492 	Valid Loss:  0.9862 	 Valid Accuracy:  0.6071
Run: [3]	 Epoch: [5]	 Train Loss:  0.988855 	 Train Accuracy:  0.6066 	Valid Loss:  1.1498 	 Valid Accuracy:  0.6429
Run: [3]	 Epoch: [6]	 Train Loss:  1.192011 	 Train Accuracy:  0.6066 	Valid Loss:  1.0849 	 Valid Accuracy:  0.6429
Run: [3]	 Epoch: [7]	 Train Loss:  1.130321 	 Train Accuracy:  0.6066 	Valid Loss:  0.9373 	 Valid Accuracy:  0.6429
