==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:plain
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:32
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-plain-7-32
time:210301-01-12-54
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-plain-7-32-210301-01-12-54
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-plain-7-32-210301-01-12-54
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
RDFLib Version: 5.0.0
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  0.891007 	 Train Accuracy:  0.7604 	Valid Loss:  0.6716 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [2]	 Train Loss:  0.541349 	 Train Accuracy:  0.3871 	Valid Loss:  1.1210 	 Valid Accuracy:  0.4182
Run: [1]	 Epoch: [3]	 Train Loss:  1.018451 	 Train Accuracy:  0.6728 	Valid Loss:  0.6572 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [4]	 Train Loss:  0.558539 	 Train Accuracy:  0.6175 	Valid Loss:  0.6707 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [5]	 Train Loss:  0.568728 	 Train Accuracy:  0.7143 	Valid Loss:  0.6636 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [6]	 Train Loss:  0.498129 	 Train Accuracy:  0.8479 	Valid Loss:  0.6457 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [7]	 Train Loss:  0.446158 	 Train Accuracy:  0.9171 	Valid Loss:  0.6335 	 Valid Accuracy:  0.7273
Run: [1]	 Epoch: [8]	 Train Loss:  0.399796 	 Train Accuracy:  0.9493 	Valid Loss:  0.6253 	 Valid Accuracy:  0.6909
Run: [1]	 Epoch: [9]	 Train Loss:  0.343413 	 Train Accuracy:  0.9724 	Valid Loss:  0.6174 	 Valid Accuracy:  0.6727
Run: [1]	 Epoch: [10]	 Train Loss:  0.306032 	 Train Accuracy:  0.9770 	Valid Loss:  0.6071 	 Valid Accuracy:  0.6727
Run: [1]	 Epoch: [11]	 Train Loss:  0.229762 	 Train Accuracy:  0.9908 	Valid Loss:  0.6075 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [12]	 Train Loss:  0.159146 	 Train Accuracy:  1.0000 	Valid Loss:  0.6186 	 Valid Accuracy:  0.6727
Run: [1]	 Epoch: [13]	 Train Loss:  0.122705 	 Train Accuracy:  1.0000 	Valid Loss:  0.6331 	 Valid Accuracy:  0.6909
Run: [1]	 Epoch: [14]	 Train Loss:  0.111351 	 Train Accuracy:  1.0000 	Valid Loss:  0.6520 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [15]	 Train Loss:  0.097558 	 Train Accuracy:  1.0000 	Valid Loss:  0.6771 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [16]	 Train Loss:  0.078255 	 Train Accuracy:  1.0000 	Valid Loss:  0.7022 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [17]	 Train Loss:  0.072375 	 Train Accuracy:  1.0000 	Valid Loss:  0.7272 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [18]	 Train Loss:  0.073202 	 Train Accuracy:  1.0000 	Valid Loss:  0.7508 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [19]	 Train Loss:  0.066030 	 Train Accuracy:  1.0000 	Valid Loss:  0.7827 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [20]	 Train Loss:  0.072673 	 Train Accuracy:  1.0000 	Valid Loss:  0.8211 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [21]	 Train Loss:  0.059213 	 Train Accuracy:  1.0000 	Valid Loss:  0.8691 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [22]	 Train Loss:  0.052086 	 Train Accuracy:  1.0000 	Valid Loss:  0.9222 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [23]	 Train Loss:  0.046516 	 Train Accuracy:  1.0000 	Valid Loss:  0.9756 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [24]	 Train Loss:  0.053291 	 Train Accuracy:  1.0000 	Valid Loss:  1.0244 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [25]	 Train Loss:  0.047302 	 Train Accuracy:  1.0000 	Valid Loss:  1.0665 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [26]	 Train Loss:  0.030340 	 Train Accuracy:  1.0000 	Valid Loss:  1.1043 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [27]	 Train Loss:  0.038052 	 Train Accuracy:  1.0000 	Valid Loss:  1.1351 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [28]	 Train Loss:  0.030510 	 Train Accuracy:  1.0000 	Valid Loss:  1.1624 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [29]	 Train Loss:  0.039773 	 Train Accuracy:  1.0000 	Valid Loss:  1.1880 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [30]	 Train Loss:  0.026249 	 Train Accuracy:  1.0000 	Valid Loss:  1.2103 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [31]	 Train Loss:  0.021707 	 Train Accuracy:  1.0000 	Valid Loss:  1.2261 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [32]	 Train Loss:  0.025704 	 Train Accuracy:  1.0000 	Valid Loss:  1.2477 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [33]	 Train Loss:  0.029262 	 Train Accuracy:  1.0000 	Valid Loss:  1.2672 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [34]	 Train Loss:  0.020687 	 Train Accuracy:  1.0000 	Valid Loss:  1.2850 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [35]	 Train Loss:  0.017663 	 Train Accuracy:  1.0000 	Valid Loss:  1.2974 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [36]	 Train Loss:  0.018143 	 Train Accuracy:  1.0000 	Valid Loss:  1.3083 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [37]	 Train Loss:  0.016156 	 Train Accuracy:  1.0000 	Valid Loss:  1.3200 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [38]	 Train Loss:  0.019490 	 Train Accuracy:  1.0000 	Valid Loss:  1.3312 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [39]	 Train Loss:  0.020926 	 Train Accuracy:  1.0000 	Valid Loss:  1.3397 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [40]	 Train Loss:  0.015166 	 Train Accuracy:  1.0000 	Valid Loss:  1.3436 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [41]	 Train Loss:  0.011656 	 Train Accuracy:  1.0000 	Valid Loss:  1.3486 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [42]	 Train Loss:  0.015826 	 Train Accuracy:  1.0000 	Valid Loss:  1.3550 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [43]	 Train Loss:  0.011760 	 Train Accuracy:  1.0000 	Valid Loss:  1.3619 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [44]	 Train Loss:  0.012343 	 Train Accuracy:  1.0000 	Valid Loss:  1.3715 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [45]	 Train Loss:  0.009628 	 Train Accuracy:  1.0000 	Valid Loss:  1.3846 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [46]	 Train Loss:  0.010130 	 Train Accuracy:  1.0000 	Valid Loss:  1.4008 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [47]	 Train Loss:  0.010163 	 Train Accuracy:  1.0000 	Valid Loss:  1.4219 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [48]	 Train Loss:  0.009734 	 Train Accuracy:  1.0000 	Valid Loss:  1.4456 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [49]	 Train Loss:  0.008775 	 Train Accuracy:  1.0000 	Valid Loss:  1.4710 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [50]	 Train Loss:  0.008089 	 Train Accuracy:  1.0000 	Valid Loss:  1.4985 	 Valid Accuracy:  0.6000
Test Accuracy in run 1 is: 0.6176470518112183
Total Train Accuracy after run 1 is: 1.0000
Total Test Accuracy after run 1 is: 0.6176
Best Test Accuracy in 1 runs is: 0.6176
Run: [2]	 Epoch: [1]	 Train Loss:  1.264239 	 Train Accuracy:  0.6175 	Valid Loss:  0.7980 	 Valid Accuracy:  0.5818
Run: [2]	 Epoch: [2]	 Train Loss:  0.739699 	 Train Accuracy:  0.3825 	Valid Loss:  0.8049 	 Valid Accuracy:  0.4182
Run: [2]	 Epoch: [3]	 Train Loss:  0.765837 	 Train Accuracy:  0.6544 	Valid Loss:  0.6747 	 Valid Accuracy:  0.5818
Run: [2]	 Epoch: [4]	 Train Loss:  0.616277 	 Train Accuracy:  0.6175 	Valid Loss:  0.6879 	 Valid Accuracy:  0.5818
Run: [2]	 Epoch: [5]	 Train Loss:  0.601742 	 Train Accuracy:  0.6175 	Valid Loss:  0.6815 	 Valid Accuracy:  0.5818
Run: [2]	 Epoch: [6]	 Train Loss:  0.588753 	 Train Accuracy:  0.6359 	Valid Loss:  0.6643 	 Valid Accuracy:  0.5818
Run: [2]	 Epoch: [7]	 Train Loss:  0.565214 	 Train Accuracy:  0.8157 	Valid Loss:  0.6584 	 Valid Accuracy:  0.5636
Run: [2]	 Epoch: [8]	 Train Loss:  0.526724 	 Train Accuracy:  0.8295 	Valid Loss:  0.6535 	 Valid Accuracy:  0.5636
Run: [2]	 Epoch: [9]	 Train Loss:  0.500593 	 Train Accuracy:  0.8341 	Valid Loss:  0.6521 	 Valid Accuracy:  0.5636
Run: [2]	 Epoch: [10]	 Train Loss:  0.436358 	 Train Accuracy:  0.9032 	Valid Loss:  0.6353 	 Valid Accuracy:  0.6364
Run: [2]	 Epoch: [11]	 Train Loss:  0.374701 	 Train Accuracy:  0.9677 	Valid Loss:  0.6253 	 Valid Accuracy:  0.6000
Run: [2]	 Epoch: [12]	 Train Loss:  0.292855 	 Train Accuracy:  0.9677 	Valid Loss:  0.6305 	 Valid Accuracy:  0.6000
Run: [2]	 Epoch: [13]	 Train Loss:  0.228209 	 Train Accuracy:  0.9724 	Valid Loss:  0.6547 	 Valid Accuracy:  0.6364
Run: [2]	 Epoch: [14]	 Train Loss:  0.189985 	 Train Accuracy:  0.9954 	Valid Loss:  0.6713 	 Valid Accuracy:  0.6364
Run: [2]	 Epoch: [15]	 Train Loss:  0.140437 	 Train Accuracy:  1.0000 	Valid Loss:  0.7043 	 Valid Accuracy:  0.6545
Run: [2]	 Epoch: [16]	 Train Loss:  0.112215 	 Train Accuracy:  1.0000 	Valid Loss:  0.7607 	 Valid Accuracy:  0.6364
Run: [2]	 Epoch: [17]	 Train Loss:  0.084905 	 Train Accuracy:  1.0000 	Valid Loss:  0.7956 	 Valid Accuracy:  0.6545
Run: [2]	 Epoch: [18]	 Train Loss:  0.070046 	 Train Accuracy:  1.0000 	Valid Loss:  0.8353 	 Valid Accuracy:  0.6364
Run: [2]	 Epoch: [19]	 Train Loss:  0.046531 	 Train Accuracy:  1.0000 	Valid Loss:  0.8515 	 Valid Accuracy:  0.6364
Run: [2]	 Epoch: [20]	 Train Loss:  0.034417 	 Train Accuracy:  1.0000 	Valid Loss:  0.8775 	 Valid Accuracy:  0.6364
Run: [2]	 Epoch: [21]	 Train Loss:  0.034425 	 Train Accuracy:  1.0000 	Valid Loss:  0.9043 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [22]	 Train Loss:  0.028433 	 Train Accuracy:  1.0000 	Valid Loss:  0.9627 	 Valid Accuracy:  0.6545
Run: [2]	 Epoch: [23]	 Train Loss:  0.028261 	 Train Accuracy:  1.0000 	Valid Loss:  1.0210 	 Valid Accuracy:  0.6909
Run: [2]	 Epoch: [24]	 Train Loss:  0.025336 	 Train Accuracy:  1.0000 	Valid Loss:  1.0529 	 Valid Accuracy:  0.6545
Run: [2]	 Epoch: [25]	 Train Loss:  0.020730 	 Train Accuracy:  1.0000 	Valid Loss:  1.0563 	 Valid Accuracy:  0.6545
Run: [2]	 Epoch: [26]	 Train Loss:  0.020156 	 Train Accuracy:  1.0000 	Valid Loss:  1.0514 	 Valid Accuracy:  0.6364
Run: [2]	 Epoch: [27]	 Train Loss:  0.020099 	 Train Accuracy:  1.0000 	Valid Loss:  1.0468 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [28]	 Train Loss:  0.018278 	 Train Accuracy:  1.0000 	Valid Loss:  1.0457 	 Valid Accuracy:  0.6909
Run: [2]	 Epoch: [29]	 Train Loss:  0.017048 	 Train Accuracy:  1.0000 	Valid Loss:  1.0620 	 Valid Accuracy:  0.6909
Run: [2]	 Epoch: [30]	 Train Loss:  0.015624 	 Train Accuracy:  1.0000 	Valid Loss:  1.0868 	 Valid Accuracy:  0.6909
Run: [2]	 Epoch: [31]	 Train Loss:  0.015227 	 Train Accuracy:  1.0000 	Valid Loss:  1.1093 	 Valid Accuracy:  0.6909
Run: [2]	 Epoch: [32]	 Train Loss:  0.021077 	 Train Accuracy:  1.0000 	Valid Loss:  1.1379 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [33]	 Train Loss:  0.012031 	 Train Accuracy:  1.0000 	Valid Loss:  1.1683 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [34]	 Train Loss:  0.011695 	 Train Accuracy:  1.0000 	Valid Loss:  1.1956 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [35]	 Train Loss:  0.010438 	 Train Accuracy:  1.0000 	Valid Loss:  1.2189 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [36]	 Train Loss:  0.011492 	 Train Accuracy:  1.0000 	Valid Loss:  1.2388 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [37]	 Train Loss:  0.010779 	 Train Accuracy:  1.0000 	Valid Loss:  1.2498 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [38]	 Train Loss:  0.012412 	 Train Accuracy:  1.0000 	Valid Loss:  1.2559 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [39]	 Train Loss:  0.012454 	 Train Accuracy:  1.0000 	Valid Loss:  1.2600 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [40]	 Train Loss:  0.012132 	 Train Accuracy:  1.0000 	Valid Loss:  1.2629 	 Valid Accuracy:  0.6727
Run: [2]	 Epoch: [41]	 Train Loss:  0.010305 	 Train Accuracy:  1.0000 	Valid Loss:  1.2669 	 Valid Accuracy:  0.6727
