==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
no_fusion:True
kernel_size:64
block_type:res
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-res-14-16-No fuse
time:210302-17-56-37
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-res-14-16-No fuse-210302-17-56-37
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-res-14-16-No fuse-210302-17-56-37
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  5.955800 	 Train Accuracy:  0.6037 	Valid Loss:  3.2015 	 Valid Accuracy:  0.4545
Run: [1]	 Epoch: [2]	 Train Loss:  2.087494 	 Train Accuracy:  0.3871 	Valid Loss:  6.2486 	 Valid Accuracy:  0.4182
Run: [1]	 Epoch: [3]	 Train Loss:  6.106942 	 Train Accuracy:  0.5300 	Valid Loss:  2.5035 	 Valid Accuracy:  0.3818
Run: [1]	 Epoch: [4]	 Train Loss:  1.822651 	 Train Accuracy:  0.6866 	Valid Loss:  2.0398 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [5]	 Train Loss:  1.191835 	 Train Accuracy:  0.7788 	Valid Loss:  1.3436 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [6]	 Train Loss:  0.550387 	 Train Accuracy:  0.9355 	Valid Loss:  0.9339 	 Valid Accuracy:  0.5091
Run: [1]	 Epoch: [7]	 Train Loss:  0.190646 	 Train Accuracy:  0.8433 	Valid Loss:  1.2888 	 Valid Accuracy:  0.4182
Run: [1]	 Epoch: [8]	 Train Loss:  0.312834 	 Train Accuracy:  0.8249 	Valid Loss:  1.4088 	 Valid Accuracy:  0.4545
Run: [1]	 Epoch: [9]	 Train Loss:  0.331396 	 Train Accuracy:  0.9309 	Valid Loss:  1.1316 	 Valid Accuracy:  0.4364
Run: [1]	 Epoch: [10]	 Train Loss:  0.176473 	 Train Accuracy:  0.9770 	Valid Loss:  0.8421 	 Valid Accuracy:  0.5091
Run: [1]	 Epoch: [11]	 Train Loss:  0.086916 	 Train Accuracy:  0.9816 	Valid Loss:  0.7499 	 Valid Accuracy:  0.6727
Run: [1]	 Epoch: [12]	 Train Loss:  0.080982 	 Train Accuracy:  0.9631 	Valid Loss:  0.7966 	 Valid Accuracy:  0.6909
Run: [1]	 Epoch: [13]	 Train Loss:  0.101285 	 Train Accuracy:  0.9585 	Valid Loss:  0.8659 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [14]	 Train Loss:  0.116567 	 Train Accuracy:  0.9585 	Valid Loss:  0.8902 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [15]	 Train Loss:  0.111945 	 Train Accuracy:  0.9677 	Valid Loss:  0.8604 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [16]	 Train Loss:  0.089746 	 Train Accuracy:  0.9816 	Valid Loss:  0.8010 	 Valid Accuracy:  0.6545
