==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:res
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:32
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-res-14-32
time:210215-19-29-41
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-res-14-32-210215-19-29-41
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-res-14-32-210215-19-29-41
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  0.902044 	 Train Accuracy:  0.6267 	Valid Loss:  0.7023 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [2]	 Train Loss:  0.624719 	 Train Accuracy:  0.3871 	Valid Loss:  1.2374 	 Valid Accuracy:  0.4182
Run: [1]	 Epoch: [3]	 Train Loss:  1.239376 	 Train Accuracy:  0.6866 	Valid Loss:  0.6968 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [4]	 Train Loss:  0.580240 	 Train Accuracy:  0.6682 	Valid Loss:  0.7077 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [5]	 Train Loss:  0.550145 	 Train Accuracy:  0.7696 	Valid Loss:  0.6941 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [6]	 Train Loss:  0.496064 	 Train Accuracy:  0.8756 	Valid Loss:  0.7002 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [7]	 Train Loss:  0.421910 	 Train Accuracy:  0.9124 	Valid Loss:  0.7236 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [8]	 Train Loss:  0.348653 	 Train Accuracy:  0.9539 	Valid Loss:  0.7352 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [9]	 Train Loss:  0.290205 	 Train Accuracy:  0.9770 	Valid Loss:  0.7376 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [10]	 Train Loss:  0.224282 	 Train Accuracy:  0.9954 	Valid Loss:  0.7543 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [11]	 Train Loss:  0.176261 	 Train Accuracy:  1.0000 	Valid Loss:  0.7929 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [12]	 Train Loss:  0.139615 	 Train Accuracy:  1.0000 	Valid Loss:  0.8611 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [13]	 Train Loss:  0.108261 	 Train Accuracy:  1.0000 	Valid Loss:  0.9384 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [14]	 Train Loss:  0.094287 	 Train Accuracy:  1.0000 	Valid Loss:  1.0287 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [15]	 Train Loss:  0.089346 	 Train Accuracy:  1.0000 	Valid Loss:  1.1486 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [16]	 Train Loss:  0.064441 	 Train Accuracy:  1.0000 	Valid Loss:  1.2737 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [17]	 Train Loss:  0.067532 	 Train Accuracy:  1.0000 	Valid Loss:  1.3798 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [18]	 Train Loss:  0.043266 	 Train Accuracy:  1.0000 	Valid Loss:  1.4674 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [19]	 Train Loss:  0.045153 	 Train Accuracy:  1.0000 	Valid Loss:  1.5345 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [20]	 Train Loss:  0.040236 	 Train Accuracy:  1.0000 	Valid Loss:  1.5621 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [21]	 Train Loss:  0.035748 	 Train Accuracy:  1.0000 	Valid Loss:  1.5751 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [22]	 Train Loss:  0.029951 	 Train Accuracy:  1.0000 	Valid Loss:  1.5875 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [23]	 Train Loss:  0.025890 	 Train Accuracy:  1.0000 	Valid Loss:  1.5975 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [24]	 Train Loss:  0.024263 	 Train Accuracy:  1.0000 	Valid Loss:  1.6101 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [25]	 Train Loss:  0.022572 	 Train Accuracy:  1.0000 	Valid Loss:  1.6262 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [26]	 Train Loss:  0.026794 	 Train Accuracy:  1.0000 	Valid Loss:  1.6371 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [27]	 Train Loss:  0.024274 	 Train Accuracy:  1.0000 	Valid Loss:  1.6641 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [28]	 Train Loss:  0.020280 	 Train Accuracy:  1.0000 	Valid Loss:  1.6976 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [29]	 Train Loss:  0.013252 	 Train Accuracy:  1.0000 	Valid Loss:  1.7266 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [30]	 Train Loss:  0.012801 	 Train Accuracy:  1.0000 	Valid Loss:  1.7539 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [31]	 Train Loss:  0.015606 	 Train Accuracy:  1.0000 	Valid Loss:  1.7841 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [32]	 Train Loss:  0.017098 	 Train Accuracy:  1.0000 	Valid Loss:  1.8106 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [33]	 Train Loss:  0.010334 	 Train Accuracy:  1.0000 	Valid Loss:  1.8348 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [34]	 Train Loss:  0.012728 	 Train Accuracy:  1.0000 	Valid Loss:  1.8608 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [35]	 Train Loss:  0.012633 	 Train Accuracy:  1.0000 	Valid Loss:  1.8852 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [36]	 Train Loss:  0.013788 	 Train Accuracy:  1.0000 	Valid Loss:  1.9037 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [37]	 Train Loss:  0.017491 	 Train Accuracy:  1.0000 	Valid Loss:  1.9188 	 Valid Accuracy:  0.6000
