==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:res
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:64
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-res-7-64
time:210301-22-32-00
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-res-7-64-210301-22-32-00
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-res-7-64-210301-22-32-00
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
RDFLib Version: 5.0.0
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  0.826137 	 Train Accuracy:  0.8387 	Valid Loss:  0.6835 	 Valid Accuracy:  0.6727
Run: [1]	 Epoch: [2]	 Train Loss:  0.476074 	 Train Accuracy:  0.3825 	Valid Loss:  2.0789 	 Valid Accuracy:  0.4182
Run: [1]	 Epoch: [3]	 Train Loss:  1.795757 	 Train Accuracy:  0.9770 	Valid Loss:  0.7175 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [4]	 Train Loss:  0.296425 	 Train Accuracy:  0.8894 	Valid Loss:  0.8291 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [5]	 Train Loss:  0.324995 	 Train Accuracy:  0.9862 	Valid Loss:  0.7398 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [6]	 Train Loss:  0.224778 	 Train Accuracy:  1.0000 	Valid Loss:  0.6933 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [7]	 Train Loss:  0.140216 	 Train Accuracy:  1.0000 	Valid Loss:  0.7133 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [8]	 Train Loss:  0.111961 	 Train Accuracy:  1.0000 	Valid Loss:  0.7726 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [9]	 Train Loss:  0.089708 	 Train Accuracy:  1.0000 	Valid Loss:  0.8428 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [10]	 Train Loss:  0.080154 	 Train Accuracy:  1.0000 	Valid Loss:  0.9085 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [11]	 Train Loss:  0.085246 	 Train Accuracy:  1.0000 	Valid Loss:  0.9702 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [12]	 Train Loss:  0.072182 	 Train Accuracy:  1.0000 	Valid Loss:  1.0233 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [13]	 Train Loss:  0.068433 	 Train Accuracy:  1.0000 	Valid Loss:  1.0731 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [14]	 Train Loss:  0.060837 	 Train Accuracy:  1.0000 	Valid Loss:  1.1189 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [15]	 Train Loss:  0.065790 	 Train Accuracy:  1.0000 	Valid Loss:  1.1632 	 Valid Accuracy:  0.5273
Run: [1]	 Epoch: [16]	 Train Loss:  0.061451 	 Train Accuracy:  1.0000 	Valid Loss:  1.2065 	 Valid Accuracy:  0.5091
